GOID	GO term	Frequency	Genome Frequency	Gene(s)
6364	 rRNA processing	"123 out of 433 genes, 28.4%"	"311 of 6341 genes, 4.9%"	"MAK16,FUN12,UTP20,MAK5,RPS9B,ENP1,RRP7,SPB1,RRP43,PWP2,NOP1,DBP10,TSR1,RRP42,NOP14,SAS10,RPL35A,NHP2,RPS11A,RPS13,RRP8,RRP1,TMA64,RRP45,LSM6,UTP6,RPL37B,SNU13,NUG1,RPS8B,NSA2,LCP5,SPB4,RPL30,DBP3,PRP43,ROK1,XRN1,RAI1,SPT4,UTP22,RRP46,UTP8,ENP2,NSR1,SKI6,RPS20,RPL8A,PIH1,RPP1,RRP3,SSF1,RRP4,NOP10,LRP1,RPF1,IMP3,DBP8,RPS24B,NOP9,HCA4,UTP10,MPP10,MRT4,UTP11,RPS27A,EBP2,RPL17A,DBP7,RPS21A,RPF2,DRS1,RPL8B,REX2,REX3,RPS31,CBF5,RPL37A,NOP56,UTP13,DBP9,UTP21,SPT5,RPS18B,UTP14,BUD22,ERB1,UTP15,ECM16,RPS16A,RRP5,NGL2,HAS1,DBP2,LSM7,RIO2,POP1,CSL4,DBP6,TRM112,RCL1,DIS3,NOP12,NOP8,RRP6,RAT1,NOB1,BUD21,RIO1,PUS7,RRS1,NOP58,RRP12,NOP4,RPS6A,NOG1,NOP53,RPL7B,NIP7,BMS1,MRD1,RPS23B,RRP15"
2181	 cytoplasmic translation	"78 out of 433 genes, 18.0%"	"179 of 6341 genes, 2.8%"	"FUN12,RBG1,RPL32,RPL4A,RPL19A,SRO9,RPS29B,RPP1A,RPP1B,RPL35A,RPL4B,RPS11A,RPS13,RPP2B,RPL37B,HYP2,RPL12A,RPS8B,RPL23B,RPS26B,RPL30,RPL24A,RPL24B,RBG2,RPL14B,RPS20,RPL8A,RPL27A,RPL2B,RPS24B,RPL16A,RPL39,RPS5,RPS4A,RPS27A,RPL17A,RPS21A,RPL40B,RPL8B,RPL10,RPS31,RPL37A,RPL38,RPS25B,RPP0,RPL26A,RPS22B,RPS29A,RPL31B,RPL6B,RPS17A,RPS18B,CLU1,RPL13B,RPS16A,TIF11,RPL9B,RPS7B,RPL42A,RPS3,RPP2A,RPS15,RPS19A,RPL25,RPL3,RPS7A,RPS28A,RPS30B,RPS10A,PRT1,RPL21B,RPS6A,RPL5,RPL7B,RPL1A,RPL36B,RPL43A,RPL11A"
42274	 ribosomal small subunit biogenesis	"62 out of 433 genes, 14.3%"	"135 of 6341 genes, 2.1%"	"FUN12,UTP20,RPS9B,ENP1,RRP7,PWP2,TSR1,NOP14,SAS10,RPS11A,RPS13,LSM6,UTP6,SNU13,RPS8B,LCP5,PRP43,ROK1,UTP22,UTP8,ENP2,NSR1,RPS20,RRP3,IMP3,DBP8,RPS24B,NOP9,UTP10,MPP10,RRP14,UTP11,RPS27A,RPS21A,RPS31,UTP13,UTP21,RPS17A,RPS18B,UTP14,BUD22,UTP15,ECM16,RPS16A,RRP5,HAS1,KRE33,LSM7,RIO2,TRM112,RCL1,RPS19A,NOB1,BUD21,RIO1,RRS1,NOP58,RRP12,RPS6A,BMS1,MRD1,RPS23B"
42273	 ribosomal large subunit biogenesis	"58 out of 433 genes, 13.4%"	"104 of 6341 genes, 1.6%"	"MAK16,MAK5,SPB1,DBP10,RPL35A,MAK21,RRP8,PUF6,RPL37B,RPL12A,NOP16,NUG1,NSA2,SPB4,DBP3,LSG1,PRP43,RAI1,TIF4631,RPL8A,SSF1,RPF1,MRT4,RRP14,RPL17A,DBP7,RPF2,RPL40B,DRS1,RPL8B,RLP24,RPL10,RPL37A,DBP9,RPP0,RPL6B,ERB1,RRP5,HAS1,NOP15,DBP6,TRM112,NOP12,BRX1,RPL25,NOP8,RAT1,RPL3,NOC2,RRS1,NOP4,NOG1,RPL5,NOP53,RPL7B,NIP7,RPL11A,RRP15"
6401	 RNA catabolic process	"51 out of 433 genes, 11.8%"	"132 of 6341 genes, 2.1%"	"CCR4,GBP2,RRP43,PAT1,CDC39,RRP42,DHH1,CDC36,SUP35,RRP45,RPB7,MOT2,PAB1,PUF4,NAB2,XRN1,RAI1,RRP46,SKI6,RPP1,RRP4,NMD2,LRP1,NOT3,LSM1,RPB4,MRT4,DBR1,HBS1,PUF3,SKI2,NAM7,STO1,DOM34,HRB1,PUB1,DBP2,DCP2,LSM7,WHI3,POP1,CSL4,NRD1,DIS3,PAP2,CDC33,DCP1,RRP6,RAT1,RPS28A,NOT5"
51169	 nuclear transport	"46 out of 433 genes, 10.6%"	"176 of 6341 genes, 2.8%"	"HMT1,GBP2,SUB2,HPR1,YRA1,NPL3,NUG1,NTF2,THO1,KAP123,RPS26B,LSG1,NAB2,RPS2,CSE1,UTP22,UTP8,CRM1,RPF1,NMD3,NOP9,RPB4,RPS5,LOS1,RPL40B,BUD20,KAP95,RPS18B,MFT1,HRB1,THO2,RPS3,RIO2,NOG2,RPS15,RPS19A,DBP5,MTR10,RPS28A,RPS10A,RRS1,NOG1,KAP120,NOP53,MEX67,TEF1"
6397	 mRNA processing	"38 out of 433 genes, 8.8%"	"170 of 6341 genes, 2.7%"	"LSM2,ABD1,SUB2,HPR1,PRP28,CFT1,LSM6,NPL3,SNU13,SMB1,RPL30,RNA15,PRP43,NAB2,CEG1,SPT4,PRP8,SNP1,RPB4,DBR1,PAP1,PRP19,SMD2,LSM3,SPT5,RSE1,RNA14,STO1,THO2,LSM7,SSU72,NRD1,PRP2,HRP1,DED1,CLP1,CBC2,MRN1"
70925	 organelle assembly	"37 out of 433 genes, 8.5%"	"131 of 6341 genes, 2.1%"	"FUN12,RRP7,PAT1,DHH1,RPS11A,MAK21,RPL12A,RPS26B,SPB4,TIF4632,LSG1,NSR1,TIF4631,SSF1,RPF1,MRT4,RPS27A,RPF2,RPL40B,DRS1,SDO1,RPL10,RPS31,RPP0,RPL6B,RPS17A,RRP5,PUB1,DCP2,RIA1,BRX1,RPL25,RPL3,RPL5,RPL11A,MRD1,SCD6"
6417	 regulation of translation	"36 out of 433 genes, 8.3%"	"105 of 6341 genes, 1.7%"	"EFB1,FUN12,RPS9B,NGR1,PAT1,DHH1,GCD6,GCN2,RPB7,NPL3,PUF6,SLF1,HYP2,GCD11,PAB1,PUF4,RPS2,SUA5,GCD2,SBP1,RPB4,ANB1,RPS5,GCN3,TIF1,HBS1,GCD7,RPL31B,NAM7,DOM34,WHI3,GIS2,EFT1,CAM1,SCD6,RPS23B"
6366	 transcription from RNA polymerase II promoter	"35 out of 433 genes, 8.1%"	"474 of 6341 genes, 7.5%"	"CCR4,HMT1,RPB5,CDC39,SUB2,RPO21,CDC36,HPR1,STB3,CFT1,RPB7,NPL3,MOT2,RPB9,CEG1,XRN1,RAI1,SPT4,RPB3,NOT3,RPB4,MSN4,SPT5,MFT1,MOT3,DCP2,THO2,SSU72,NRD1,RAT1,RPB2,RPB8,CAM1,EAF3,NOT5"
