GOID	GO term	Frequency	Genome Frequency	Gene(s)
6366	 transcription from RNA polymerase II promoter	"29 out of 240 genes, 12.1%"	"474 of 6341 genes, 7.5%"	"CCR4,RXT2,RPB5,HMO1,HTA1,TFB3,SPP41,SPT2,DST1,RTG2,TFG2,RPC10,RPB3,TFA1,ELF1,TFA2,SUB1,MKS1,GCR2,RPD3,TOP1,HTZ1,RPB10,RPB8,WTM1,MED1,NOT5,FHL1,RPO26"
6325	 chromatin organization	"25 out of 240 genes, 10.4%"	"318 of 6341 genes, 5.0%"	"SWC3,HTB2,RXT2,BDF2,CPR1,HTA1,SIR4,VPS72,SPT2,RTG2,SET5,NET1,SET2,ELF1,TOF2,BDF1,FPR4,FPR3,GAS1,RPD3,TOP1,HTZ1,WTM1,HHO1,RLF2"
33043	 regulation of organelle organization	"21 out of 240 genes, 8.8%"	"287 of 6341 genes, 4.5%"	"EFB1,RXT2,RIM1,BDF2,CPR1,SIR4,YCG1,KIP3,RTG2,PXR1,KEL1,NET1,SET2,BDF1,FPR4,FPR3,RPD3,MDM20,BFR1,WTM1,HHO1"
8150	 biological process unknown	"21 out of 240 genes, 8.8%"	"1047 of 6341 genes, 16.5%"	"YBL028C,GFD2,YCR087C-A,PAR32,MRH1,PSP1,YDR514C,YGL036W,YGR130C,YGR237C,CRP1,RRT14,YKL023W,KKQ8,YLL032C,CMS1,YLR363W-A,TRI1,YNL050C,KEL3,AIM45"
42221	 response to chemical	"19 out of 240 genes, 7.9%"	"442 of 6341 genes, 7%"	"NCL1,SVF1,PDR15,DNF1,HUL5,RTG2,UBA4,SSM4,KAR2,TRL1,BCK1,PMT4,LHS1,DRE2,STE11,USA1,SUB1,SKY1,ZWF1"
6360	 transcription from RNA polymerase I promoter	"19 out of 240 genes, 7.9%"	"66 of 6341 genes, 1.0%"	"RPB5,RPA14,HMO1,DST1,RPC10,RPA34,RPA12,RPC19,RPA49,RPD3,CKB2,CKA2,RPB10,RPB8,RPA43,RPA190,RPA135,RPC40,RPO26"
6605	 protein targeting	"17 out of 240 genes, 7.1%"	"303 of 6341 genes, 4.8%"	"APM3,SRP14,RTG2,DJP1,KAR2,SNX4,PBS2,LHS1,SRP21,SRP102,YPT52,RTP1,SKY1,ACC1,WTM1,SEC62,LOA1"
48285	 organelle fission	"17 out of 240 genes, 7.1%"	"294 of 6341 genes, 4.6%"	"RFA1,CPR1,YCG1,SPC110,SCC4,KIP3,CBF2,KEL1,NET1,MDV1,SET2,DYN1,FPR3,TUB3,RPD3,TOP1,BFR1"
6520	 cellular amino acid metabolic process	"15 out of 240 genes, 6.3%"	"153 of 6341 genes, 2.4%"	"ADH5,KRS1,HOM2,MET6,ARC1,GUS1,VAS1,MES1,DED81,MAE1,DPS1,AAT2,PDC1,ADH3,HTS1"
278	 mitotic cell cycle	"15 out of 240 genes, 6.3%"	"319 of 6341 genes, 5.0%"	"CCR4,YCG1,SPC110,SCC4,KIP3,CBF2,KEL1,NET1,DYN1,MSA2,TUB3,RPD3,TOP1,BFR1,RAX1"
