GOID	GO term	Frequency	Genome Frequency	Gene(s)
6364	 rRNA processing	"57 out of 230 genes, 24.8%"	"311 of 6341 genes, 4.9%"	"MAK16,FUN12,MAK5,RPS9B,SPB1,NOP1,DBP10,NOP14,SAS10,NHP2,TMA64,ESF1,RRP17,RPL37B,SNU13,NSA2,LOC1,CGR1,DBP3,NOP7,NSR1,ZUO1,RPS20,SSZ1,SSF1,NOP10,FAF1,BMT5,MAK11,UTP11,EBP2,DBP7,RPS21A,NOC3,FCF2,FYV7,CBF5,PWP1,NOP56,DBP9,UTP14,BUD22,ERB1,RPS16A,RNT1,RIO2,JJJ1,KRI1,MPP6,ESF2,RIO1,RRP36,NOP58,NOP4,NOP53,RRP9,RRP15"
42273	 ribosomal large subunit biogenesis	"29 out of 230 genes, 12.6%"	"104 of 6341 genes, 1.6%"	"MAK16,MAK5,SPB1,DBP10,SSF2,RPL37B,NOP16,NSA2,LOC1,DBP3,NOP7,SSF1,MAK11,RRP14,DBP7,RPL40B,DBP9,RPL6B,RPL6A,ERB1,NOP15,JJJ1,BRX1,NOC2,YTM1,NOP4,NOP53,RRP15,JIP5"
42274	 ribosomal small subunit biogenesis	"27 out of 230 genes, 11.7%"	"135 of 6341 genes, 2.1%"	"FUN12,RPS9B,NOP14,SAS10,NOP6,SNU13,LOC1,NOP7,NSR1,RPS20,FAF1,RRP14,UTP11,RPS21A,FCF2,FYV7,UTP14,BUD22,RPS16A,RIO2,RPS19B,KRI1,ESF2,RPS19A,RIO1,RRP36,NOP58"
2181	 cytoplasmic translation	"24 out of 230 genes, 10.4%"	"179 of 6341 genes, 2.8%"	"FUN12,RPS29B,RPL31A,RPL37B,RPS25A,RPS20,SSZ1,RPL34B,RPL39,RPS5,RPS21A,RPL40B,RPL22A,RPL38,RPS22B,RPL6B,RPL6A,RPS16A,TIF11,RPS19B,RPS19A,TMA46,RPL20B,RPS12"
6325	 chromatin organization	"21 out of 230 genes, 9.1%"	"318 of 6341 genes, 5.0%"	"SWC3,HTB2,NOP1,BDF2,NSI1,CPR1,HTA1,SPT2,RTG2,SET5,NET1,ELF1,TOF2,BDF1,FPR4,FPR3,RNT1,TOP1,HTZ1,HHO1,RLF2"
6360	 transcription from RNA polymerase I promoter	"20 out of 230 genes, 8.7%"	"66 of 6341 genes, 1.0%"	"RPB5,NSI1,RPA14,HMO1,DST1,RPC10,RPA34,RPA12,RPC19,RPA49,CKB2,CKA2,RIO1,RPB10,RPB8,RPA43,RPA190,RPA135,RPC40,RPO26"
6366	 transcription from RNA polymerase II promoter	"17 out of 230 genes, 7.4%"	"474 of 6341 genes, 7.5%"	"RPB5,HMO1,HTA1,SPT2,DST1,RTG2,RPC10,TFA1,ELF1,SUB1,RNT1,TOP1,HTZ1,RPB10,RPB8,FHL1,RPO26"
33043	 regulation of organelle organization	"16 out of 230 genes, 7%"	"287 of 6341 genes, 4.5%"	"EFB1,RIM1,BDF2,NSI1,CPR1,YCG1,RTG2,PXR1,NET1,BDF1,FPR4,FPR3,MDM20,RIO1,BFR1,HHO1"
8150	 biological process unknown	"16 out of 230 genes, 7%"	"1047 of 6341 genes, 16.5%"	"YBL028C,GFD2,YCR087C-A,PAR32,MRH1,PSP1,YDR514C,YGR130C,YGR237C,CRP1,RRT14,TMA22,YKL023W,YLR363W-A,YNL050C,KEL3"
7005	 mitochondrion organization	"15 out of 230 genes, 6.5%"	"421 of 6341 genes, 6.6%"	"RIM1,MRX14,MRPS28,MRP1,MRPL25,RRF1,DJP1,MDV1,MRPL31,MRPL39,MRPL24,MRP7,YNL122C,MDM20,RTC6"
