GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES	ratio	ANNOTATED_GENES2
GO:0006364	rRNA processing	60	156	38.46%	356	6439	5.53%	YAL025C, YAL035W, YBR189W, YCL054W, YCR087C-A, YDL014W, YDL031W, YDL148C, YDL153C, YDL208W, YDL213C, YDR117C, YDR365C, YDR412W, YEL026W, YER002W, YER082C, YER126C, YFR001W, YGL029W, YGL078C, YGR103W, YGR159C, YGR280C, YGR285C, YHR064C, YHR065C, YHR066W, YHR072W-A, YIL019W, YIL096C, YJL136C, YKL021C, YKL082C, YKL099C, YKL172W, YKR057W, YLR002C, YLR051C, YLR068W, YLR197W, YLR276C, YML093W, YMR239C, YNL110C, YNL124W, YNL227C, YNL308C, YNR024W, YNR054C, YOL077C, YOR119C, YOR272W, YOR287C, YOR294W, YOR310C, YPL043W, YPL146C, YPR137W, YPR143W	2.79837588041804	MAK16, FUN12, RPS9B, SPB1, YCR087C-A, NOP1, DBP10, NOP14, SAS10, NHP2, NOP6, TMA64, ESF1, RRP17, SNU13, NOP16, UTP7, NSA2, LOC1, CGR1, DBP3, NOP7, NSR1, PXR1, ZUO1, SSZ1, RRP3, SSF1, NOP10, FAF1, BMT5, RPS21B, MAK11, RRP14, UTP11, EBP2, RPS21A, NOC3, FCF2, FYV7, NOP56, DBP9, UTP14, RNT1, NOP15, NAF1, JJJ1, KRI1, MPP6, ESF2, BRX1, RIO1, YTM1, RRP36, RRS1, NOP58, NOP4, NOP53, RRP9, RRP15
GO:0042274	ribosomal small subunit biogenesis	29	156	18.59%	148	6439	2.30%	YAL035W, YBR189W, YDL148C, YDL153C, YDL213C, YEL026W, YER082C, YFR001W, YGR103W, YGR159C, YHR065C, YIL019W, YJL136C, YKL082C, YKL099C, YKR057W, YLR051C, YLR068W, YLR336C, YML093W, YNL302C, YNL308C, YNR054C, YOL121C, YOR119C, YOR287C, YOR294W, YOR310C, YPR137W	3.01574634527454	FUN12, RPS9B, NOP14, SAS10, NOP6, SNU13, UTP7, LOC1, NOP7, NSR1, RRP3, FAF1, RPS21B, RRP14, UTP11, RPS21A, FCF2, FYV7, SGD1, UTP14, RPS19B, KRI1, ESF2, RPS19A, RIO1, RRP36, RRS1, NOP58, RRP9
GO:0042273	ribosomal large subunit biogenesis	28	156	17.95%	124	6439	1.93%	YAL025C, YCL054W, YDL031W, YDL208W, YDR312W, YEL026W, YER002W, YER126C, YFR001W, YGL078C, YGR103W, YHR066W, YKL021C, YKL082C, YKL172W, YLR002C, YLR276C, YLR448W, YNL110C, YNL227C, YOL077C, YOR206W, YOR272W, YOR294W, YPL043W, YPL146C, YPR143W, YPR169W	3.22037732744664	MAK16, SPB1, DBP10, NHP2, SSF2, SNU13, NOP16, NSA2, LOC1, DBP3, NOP7, SSF1, MAK11, RRP14, EBP2, NOC3, DBP9, RPL6B, NOP15, JJJ1, BRX1, NOC2, YTM1, RRS1, NOP4, NOP53, RRP15, JIP5
GO:0006325	chromatin organization	18	156	11.54%	307	6439	4.77%	YAL011W, YBL003C, YBR195C, YDL070W, YDR026C, YDR225W, YER161C, YGL252C, YJL076W, YKL160W, YLR399C, YLR449W, YML074C, YMR239C, YNL136W, YOL006C, YPL127C, YPR018W	1.27504887184805	SWC3, HTA2, MSI1, BDF2, NSI1, HTA1, SPT2, RTG2, NET1, ELF1, BDF1, FPR4, FPR3, RNT1, EAF7, TOP1, HHO1, RLF2
GO:0002181	cytoplasmic translation	17	156	10.90%	205	6439	3.18%	YAL035W, YDL075W, YDR117C, YER007C-A, YHR064C, YIL052C, YJL136C, YJL190C, YJR014W, YKR057W, YLR061W, YLR367W, YLR448W, YMR260C, YNL302C, YOL121C, YOR369C	1.77520145752081	FUN12, RPL31A, TMA64, TMA20, SSZ1, RPL34B, RPS21B, RPS22A, TMA22, RPS21A, RPL22A, RPS22B, RPL6B, TIF11, RPS19B, RPS19A, RPS12
GO:0006366	transcription by RNA polymerase II	16	156	10.26%	549	6439	8.53%	YBR154C, YCR087C-A, YDR174W, YDR225W, YER161C, YGL252C, YHR143W-A, YKL160W, YKR062W, YLR455W, YMR239C, YNL136W, YOL006C, YPR072W, YPR104C, YPR187W	0.266556376770717	RPB5, YCR087C-A, HMO1, HTA1, SPT2, RTG2, RPC10, ELF1, TFA2, PDP3, RNT1, EAF7, TOP1, NOT5, FHL1, RPO26
GO:0033043	regulation of organelle organization	12	156	7.69%	341	6439	5.30%	YAL003W, YDL070W, YDR026C, YGL252C, YGR280C, YJL076W, YLR399C, YLR449W, YML074C, YOR119C, YOR198C, YPL127C	0.5385532874729	EFB1, BDF2, NSI1, RTG2, PXR1, NET1, BDF1, FPR4, FPR3, RIO1, BFR1, HHO1
GO:0042255	ribosome assembly	11	156	7.05%	80	6439	1.24%	YAL035W, YDR312W, YGR159C, YHR066W, YKL021C, YLR448W, YNL302C, YNR054C, YOL077C, YOL121C, YPL146C	2.50472223952585	FUN12, SSF2, NSR1, SSF1, MAK11, RPL6B, RPS19B, ESF2, BRX1, RPS19A, NOP53
GO:0006417	regulation of translation	10	156	6.41%	194	6439	3.01%	YAL003W, YAL035W, YBR189W, YER165W, YER176W, YFR001W, YFR009W, YGR072W, YJL087C, YPR072W	1.08923396847615	EFB1, FUN12, RPS9B, PAB1, ECM32, LOC1, GCN20, UPF3, TRL1, NOT5
GO:0009451	RNA modification	9	156	5.77%	180	6439	2.80%	YCL054W, YDL014W, YDL208W, YDR120C, YHR072W-A, YIL096C, YLR197W, YNL062C, YNL124W	1.04529062088855	SPB1, NOP1, NHP2, TRM1, NOP10, BMT5, NOP56, GCD10, NAF1
