;CDS;UTR3;UTR5;CDS_norm;UTR3_norm;UTR5_norm;gene_name;gene_id
YER025W;0;0;0;0;0;0;GCD11;YER025W
YPL237W;0;0;0;0;0;0;SUI3;YPL237W
YGL099W;0;0;0;0;0;0;LSG1;YGL099W
YLL013C;0;0;0;0;0;0;PUF3;YLL013C
YMR260C;7;2;3;0.051094891;0.052631579;0.230769231;TIF11;YMR260C
YOR198C;18;5;3;0.131386861;0.131578947;0.230769231;BFR1;YOR198C
YJR014W;9;2;2;0.065693431;0.052631579;0.153846154;TMA22;YJR014W
YLL018C;15;6;3;0.109489051;0.157894737;0.230769231;DPS1;YLL018C
YKL021C;7;0;1;0.051094891;0;0.076923077;MAK11;YKL021C
YNL124W;5;0;1;0.03649635;0;0.076923077;NAF1;YNL124W
YKL160W;7;0;1;0.051094891;0;0.076923077;ELF1;YKL160W
YHR038W;7;0;0;0.051094891;0;0;RRF1;YHR038W
YER007C-A;9;1;1;0.065693431;0.026315789;0.076923077;TMA20;YER007C-A
YDL173W;6;1;0;0.04379562;0.026315789;0;PAR32;YDL173W
YHR146W;3;0;0;0.02189781;0;0;CRP1;YHR146W
YER029C;3;0;0;0.02189781;0;0;SMB1;YER029C
YGR076C;3;0;0;0.02189781;0;0;MRPL25;YGR076C
YLR051C;5;0;1;0.03649635;0;0.076923077;FCF2;YLR051C
YGL029W;7;1;2;0.051094891;0.026315789;0.153846154;CGR1;YGL029W
YLR061W;8;1;0;0.058394161;0.026315789;0;RPL22A;YLR061W
YDL070W;2;0;1;0.01459854;0;0.076923077;BDF2;YDL070W
YJL087C;4;1;1;0.02919708;0.026315789;0.076923077;TRL1;YJL087C
YBL028C;3;0;0;0.02189781;0;0;;YBL028C
YIL019W;4;1;1;0.02919708;0.026315789;0.076923077;FAF1;YIL019W
YOR272W;8;0;1;0.058394161;0;0.076923077;YTM1;YOR272W
YGR202C;9;1;1;0.065693431;0.026315789;0.076923077;PCT1;YGR202C
YHR019C;5;1;1;0.03649635;0.026315789;0.076923077;DED81;YHR019C
YAL025C;4;0;1;0.02919708;0;0.076923077;MAK16;YAL025C
YPL105C;4;0;0;0.02919708;0;0;SYH1;YPL105C
YDR381W;2;0;0;0.01459854;0;0;YRA1;YDR381W
YHR064C;2;1;1;0.01459854;0.026315789;0.076923077;SSZ1;YHR064C
YGR285C;3;1;1;0.02189781;0.026315789;0.076923077;ZUO1;YGR285C
YDR120C;3;1;0;0.02189781;0.026315789;0;TRM1;YDR120C
YOL006C;3;1;0;0.02189781;0.026315789;0;TOP1;YOL006C
YBR288C;5;0;0;0.03649635;0;0;APM3;YBR288C
YLR276C;2;0;0;0.01459854;0;0;DBP9;YLR276C
YLR367W;1;0;0;0.00729927;0;0;RPS22B;YLR367W
YJL190C;1;0;0;0.00729927;0;0;RPS22A;YJL190C
YLR003C;1;0;0;0.00729927;0;0;CMS1;YLR003C
YLR336C;1;0;0;0.00729927;0;0;SGD1;YLR336C
YNL062C;1;0;0;0.00729927;0;0;GCD10;YNL062C
YKR062W;1;0;0;0.00729927;0;0;TFA2;YKR062W
YER082C;1;0;0;0.00729927;0;0;UTP7;YER082C
YDR361C;1;0;0;0.00729927;0;0;BCP1;YDR361C
YHR065C;1;0;0;0.00729927;0;0;RRP3;YHR065C
YDL148C;1;0;0;0.00729927;0;0;NOP14;YDL148C
YAL011W;3;0;0;0.02189781;0;0;SWC3;YAL011W
YDR037W;1;0;1;0.00729927;0;0.076923077;KRS1;YDR037W
YGR094W;2;0;1;0.01459854;0;0.076923077;VAS1;YGR094W
YCL036W;2;1;0;0.01459854;0.026315789;0;GFD2;YCL036W
YDL031W;3;0;0;0.02189781;0;0;DBP10;YDL031W
YMR239C;2;1;0;0.01459854;0.026315789;0;RNT1;YMR239C
YDR115W;2;0;1;0.01459854;0;0.076923077;;YDR115W
YKL122C;2;0;0;0.01459854;0;0;SRP21;YKL122C
YKL082C;3;0;0;0.02189781;0;0;RRP14;YKL082C
YGR072W;2;0;0;0.01459854;0;0;UPF3;YGR072W
YNL050C;4;0;0;0.02919708;0;0;;YNL050C
YDL208W;3;0;0;0.02189781;0;0;NHP2;YDL208W
YHR072W-A;3;0;0;0.02189781;0;0;NOP10;YHR072W-A
YOL077C;2;0;0;0.01459854;0;0;BRX1;YOL077C
YKL023W;1;0;0;0.00729927;0;0;;YKL023W
YDR337W;1;0;0;0.00729927;0;0;MRPS28;YDR337W
YLR448W;1;0;0;0.00729927;0;0;RPL6B;YLR448W
YBR189W;1;0;0;0.00729927;0;0;RPS9B;YBR189W
YDR225W;1;0;0;0.00729927;0;0;HTA1;YDR225W
YBL003C;1;0;0;0.00729927;0;0;HTA2;YBL003C
YAL003W;1;0;0;0.00729927;0;0;EFB1;YAL003W
YBL038W;1;0;0;0.00729927;0;0;MRPL16;YBL038W
YFR009W;1;0;0;0.00729927;0;0;GCN20;YFR009W
YDR325W;1;0;0;0.00729927;0;0;YCG1;YDR325W
YOR294W;1;0;0;0.00729927;0;0;RRS1;YOR294W
