selected GO terms for RN- related processes,,
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity,,
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity",,
3'-5' RNA helicase activity,,
3'-5' exonuclease activity,,
3'-5'-exoribonuclease activity,,
3'-UTR-mediated mRNA stabilization,,
5'-3' exonuclease activity,,
5'-3' exoribonuclease activity,,
5S rRNA binding,,
7-methylguanosine RNA capping,,
7-methylguanosine cap hypermethylation,,
7-methylguanosine mRNA capping,,
7S RNA binding,,
90S preribosome,,
90S preribosome assembly,,
ATP-dependent 5'-3' DNA/RNA helicase activity,,
ATP-dependent 5'-3' RNA helicase activity,,
ATP-dependent RNA helicase activity,,
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity,,
AU-rich element binding,,
BRCA1-A complex,,
BRCA1-BARD1 complex,,
CRD-mediated mRNA stability complex,,
CRD-mediated mRNA stabilization,,
CTP:3'-cytidine-tRNA cytidylyltransferase activity,,
CTP:tRNA cytidylyltransferase activity,,
CUT catabolic process,,
DBIRD complex,,
DEAD/H-box RNA helicase binding,,
DNA replication, removal of RNA primer,
DNA replication, synthesis of RNA primer,
DNA/RNA helicase activity,,
G-quadruplex RNA binding,,
P granule,,
RIG-I signaling pathway,,
RNA (guanine-N7)-methylation,,
RNA 3'-end processing,,
RNA 5'-end processing,,
RNA 7-methylguanosine cap binding,,
RNA binding,,
RNA cap binding,,
RNA catabolic process,,
RNA destabilization,,
RNA export from nucleus,,
RNA helicase activity,,
RNA import into mitochondrion,,
RNA import into nucleus,,
RNA interference,,
RNA lariat debranching enzyme activity,,
RNA ligase (ATP) activity,,
RNA localization,,
RNA metabolic process,,
RNA methylation,,
RNA methyltransferase activity,,
RNA modification,,
RNA polyadenylation,,
RNA processing,,
RNA pyrophosphohydrolase activity,,
RNA repair,,
RNA secondary structure unwinding,,
RNA splicing,,
RNA splicing, via transesterification reactions,
RNA stem-loop binding,,
RNA transmembrane transporter activity,,
RNA transport,,
RNA trimethylguanosine synthase activity,,
RNA uridylyltransferase activity,,
RNA-3'-phosphate cyclase activity,,
RNA-dependent ATPase activity,,
RNA-directed RNA polymerase activity,,
RNA-induced silencing complex,,
S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity,,
SMN complex,,
SSU rRNA binding,,
Ski complex,,
THO complex,,
THO complex part of transcription export complex,,
U1 snRNP,,
U12-type spliceosomal complex,,
U2 snRNA 3'-end processing,,
U2 snRNP,,
U2-type prespliceosome,,
U2-type spliceosomal complex,,
U4 snRNA binding,,
U4 snRNP,,
U4/U6 snRNP,,
U4/U6 x U5 tri-snRNP complex,,
U4atac snRNP,,
U5 snRNA binding,,
U5 snRNP,,
U6 snRNA 3'-end processing,,
U6 snRNA binding,,
U6 snRNP,,
U7 snRNA binding,,
U7 snRNP,,
alanine-tRNA ligase activity,,
alanyl-tRNA aminoacylation,,
alternative mRNA splicing, via spliceosome,
aminoacyl-tRNA editing activity,,
aminoacyl-tRNA hydrolase activity,,
aminoacyl-tRNA ligase activity,,
aminoacyl-tRNA synthetase multienzyme complex,,
apolipoprotein B mRNA editing enzyme complex,,
arginine-tRNA ligase activity,,
arginyl-tRNA aminoacylation,,
asparagine-tRNA ligase activity,,
asparaginyl-tRNA aminoacylation,,
aspartate-tRNA ligase activity,,
aspartyl-tRNA aminoacylation,,
assembly of spliceosomal tri-snRNP,,
box C/D snoRNP assembly,,
box C/D snoRNP complex,,
box H/ACA RNP complex,,
box H/ACA snoRNP complex,,
catalytic step 2 spliceosome,,
cellular response to dsRNA,,
cellular response to exogenous dsRNA,,
cis assembly of pre-catalytic spliceosome,,
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,,
cysteine-tRNA ligase activity,,
cysteinyl-tRNA aminoacylation,,
cytoplasmic exosome (RNase complex),,
cytoplasmic mRNA processing body,,
cytoplasmic mRNA processing body assembly,,
cytoplasmic stress granule,,
cytosolic large ribosomal subunit,,
cytosolic ribosome,,
cytosolic small ribosomal subunit,,
deadenylation-dependent decapping of nuclear-transcribed mRNA,,
deadenylation-independent decapping of nuclear-transcribed mRNA,,
double-stranded RNA adenosine deaminase activity,,
double-stranded RNA binding,,
dsRNA transport,,
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
endoribonuclease activity,,
endoribonuclease activity, cleaving siRNA-paired mRNA,
endoribonuclease activity, producing 5'-phosphomonoesters,
eukaryotic 43S preinitiation complex,,
eukaryotic 48S preinitiation complex,,
eukaryotic 80S initiation complex,,
eukaryotic initiation factor 4E binding,,
eukaryotic initiation factor 4G binding,,
eukaryotic translation elongation factor 1 complex,,
eukaryotic translation initiation factor 2 complex,,
eukaryotic translation initiation factor 2B complex,,
eukaryotic translation initiation factor 2alpha kinase activity,,
eukaryotic translation initiation factor 3 complex,,
eukaryotic translation initiation factor 4F complex,,
exonuclease activity,,
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,,
exoribonuclease II activity,,
exoribonuclease activity,,
exoribonuclease activity, producing 5'-phosphomonoesters,
exosome (RNase complex),,
formation of translation initiation complex,,
formation of translation preinitiation complex,,
gene silencing by RNA,,
gene silencing by miRNA,,
glutamate-tRNA ligase activity,,
glutamate-tRNA(Gln) ligase activity,,
glutamine-tRNA ligase activity,,
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,,
glutamyl-tRNA aminoacylation,,
glutamyl-tRNA(Gln) amidotransferase complex,,
glycine-tRNA ligase activity,,
glycyl-tRNA aminoacylation,,
guanyl ribonucleotide binding,,
histidine-tRNA ligase activity,,
histidyl-tRNA aminoacylation,,
histone mRNA 3'-end processing,,
histone mRNA catabolic process,,
histone mRNA metabolic process,,
histone pre-mRNA 3'end processing complex,,
histone pre-mRNA DCP binding,,
histone pre-mRNA stem-loop binding,,
integrator complex,,
intracellular mRNA localization,,
intronless viral mRNA export from host nucleus,,
isoleucine-tRNA ligase activity,,
isoleucyl-tRNA aminoacylation,,
large ribosomal subunit,,
leucine-tRNA ligase activity,,
leucyl-tRNA aminoacylation,,
ligase activity, forming aminoacyl-tRNA and related compounds,
lysine-tRNA ligase activity,,
lysyl-tRNA aminoacylation,,
m7G(5')pppN diphosphatase activity,,
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity,,
mRNA (guanine-N7-)-methyltransferase activity,,
mRNA (nucleoside-2'-O-)-methyltransferase activity,,
mRNA 3'-UTR AU-rich region binding,,
mRNA 3'-UTR binding,,
mRNA 3'-end processing,,
mRNA 3'-splice site recognition,,
mRNA 5'-UTR binding,,
mRNA 5'-splice site recognition,,
mRNA binding,,
mRNA cap binding complex,,
mRNA catabolic process,,
mRNA cis splicing, via spliceosome,
mRNA cleavage,,
mRNA cleavage and polyadenylation specificity factor complex,,
mRNA cleavage factor complex,,
mRNA cleavage involved in gene silencing by miRNA,,
mRNA destabilization,,
mRNA export from nucleus,,
mRNA export from nucleus in response to heat stress,,
mRNA guanylyltransferase activity,,
mRNA localization resulting in posttranscriptional regulation of gene expression,,
mRNA metabolic process,,
mRNA methylation,,
mRNA modification,,
mRNA polyadenylation,,
mRNA processing,,
mRNA splice site selection,,
mRNA splicing, via spliceosome,
mRNA stabilization,,
mRNA transcription,,
mRNA transcription from RNA polymerase II promoter,,
mRNA transport,,
maturation of 5.8S rRNA,,
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
maturation of SSU-rRNA,,
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
mature ribosome assembly,,
methionine-tRNA ligase activity,,
methionyl-tRNA aminoacylation,,
methionyl-tRNA formyltransferase activity,,
miRNA binding,,
miRNA catabolic process,,
miRNA loading onto RISC involved in gene silencing by miRNA,,
miRNA metabolic process,,
micro-ribonucleoprotein complex,,
mitochondrial RNA 3'-end processing,,
mitochondrial RNA 5'-end processing,,
mitochondrial RNA catabolic process,,
mitochondrial RNA surveillance,,
mitochondrial alanyl-tRNA aminoacylation,,
mitochondrial asparaginyl-tRNA aminoacylation,,
mitochondrial large ribosomal subunit,,
mitochondrial mRNA catabolic process,,
mitochondrial mRNA polyadenylation,,
mitochondrial mRNA surveillance,,
mitochondrial ncRNA surveillance,,
mitochondrial ribosome,,
mitochondrial ribosome binding,,
mitochondrial small ribosomal subunit,,
mitochondrial tRNA methylation,,
mitochondrial tRNA wobble uridine modification,,
mitochondrial threonyl-tRNA aminoacylation,,
mitochondrial translation,,
mitochondrial translational elongation,,
mitochondrial translational termination,,
mitochondrial tyrosyl-tRNA aminoacylation,,
modification by virus of host mRNA processing,,
ncRNA metabolic process,,
negative regulation of RNA export from nucleus,,
negative regulation of RNA splicing,,
