Pfam RNA binding domains	number of proteins in RBP census
RRM_1	178
DEAD	62
zf-CCCH	45
RRM_6	43
KH_1	38
RRM_5	35
GTP_EFTU	21
dsrm	21
zf-CCHC	20
LSM	19
GTP_EFTU_D2	17
HA2	17
G-patch	15
IBN_N	14
RnaseA	13
SAP	13
TUDOR	13
KOW	12
MMR_HSR1	12
zf-C2H2_jaz	12
RNase_T	11
MIF4G	10
NTF2	9
PAM2	9
PAZ	9
RBM1CTR	9
zf-RanBP	9
Anticodon_1	8
CSD	8
GTP_EFTU_D3	8
HGTP_anticodon	8
Piwi	8
R3H	8
RNase_Zc3h12a	8
Ribosomal_L7Ae	8
S1	8
Xpo1	8
tRNA-synt_2b	8
Exo_endo_phos	7
La	7
Nol1_Nop2_Fmu	7
PAP_assoc	7
RNase_PH	7
W2	7
tRNA-synt_1	7
tRNA_SAD	7
zf-C2H2	7
zf-met	7
APOBEC_N	6
A_deamin	6
MA3	6
RAP	6
RNase_PH_C	6
Surp	6
tRNA_anti-codon	6
Brix	5
DZF	5
FtsJ	5
PARP	5
PWI	5
Tap-RNA_bind	5
YTH	5
tRNA-synt_2	5
AF-4	4
Beta-Casp	4
CAF1	4
CRM1_C	4
DND1_DSRM	4
Dus	4
EFG_IV	4
IF4E	4
Lactamase_B	4
OAS1_C	4
PABP	4
PIH1	4
PIN_4	4
PUA	4
PseudoU_synth_2	4
RF-1	4
Ribosomal_L30	4
S4	4
SUI1	4
THRAP3_BCLAF1	4
tRNA-synt_1b	4
tRNA-synt_2c	4
2OG-FeII_Oxy_2	3
AKAP95	3
Ago_hook	3
CBF	3
CBFNT	3
Calreticulin	3
DUF2414	3
DUF2465	3
DcpS_C	3
EST1_DNA_bind	3
FXR1P_C	3
FYTT	3
Fox-1_C	3
IF-2B	3
LSM14	3
LUC7	3
MBD	3
Methyltransf_31	3
Nop	3
Nucleoplasmin	3
PAP_RNA-bind	3
PseudoU_synth_1	3
PurA	3
RIG-I_C-RD	3
RIO1	3
RMMBL	3
RNB	3
RS4NT	3
Ribonuc_2-5A	3
Ribosomal_60s	3
Ribosomal_L1	3
Ribosomal_L10	3
Ribosomal_L16	3
Ribosomal_L18e	3
Ribosomal_L3	3
Ribosomal_S10	3
Ribosomal_S18	3
Ribosomal_S4e	3
RrnaAD	3
S1-like	3
SMN	3
Sas10_Utp3	3
SpoU_methylase	3
Suf	3
TAP_C	3
THUMP	3
TruB_N	3
UPF0020	3
Utp12	3
cwf21	3
eIF-1a	3
eIF-5a	3
tRNA-synt_1c	3
tRNA-synt_His	3
tRNA_m1G_MT	3
zf-RNPHF	3
zf-U1	3
zf-nanos	3
AARP2CN	2
AKAP7_NLS	2
AXH	2
Aconitase	2
Aconitase_C	2
Alba	2
B3_4	2
Bin3	2
CPSF_A	2
Caprin-1_C	2
Clp1	2
CwfJ_C_1	2
CwfJ_C_2	2
Cwf_Cwc_15	2
DALR_1	2
DCP1	2
DRY_EERY	2
DUF1387	2
DUF1897	2
DUF2051	2
ECR1_N	2
EF1_GNE	2
EST1	2
Endonuclease_NS	2
FDF	2
FDX-ACB	2
FRG1	2
Fcf1	2
Fibrillarin	2
GCD14	2
GUCT	2
Gar1	2
HABP4_PAI-RBP1	2
HEXIM	2
HnRNPA1	2
IF-2	2
INT_SG_DDX_CT_C	2
L51_S25_CI-B8	2
LsmAD	2
MRP-S27	2
MT-A70	2
Mago_nashi	2
Met_10	2
NOP5NT	2
NOT2_3_5	2
NUC153	2
Nop25	2
Nop52	2
PAT1	2
PDCD9	2
PRP38	2
PRP4	2
PTH2	2
PUF	2
RNA_pol_L_2	2
RNase_P_Rpp14	2
RRM_3	2
ResIII	2
Ribonuclease_3	2
Ribosom_S12_S23	2
Ribosomal_L11	2
Ribosomal_L11_N	2
Ribosomal_L13	2
Ribosomal_L14	2
Ribosomal_L18p	2
Ribosomal_L2	2
Ribosomal_L22	2
Ribosomal_L22e	2
Ribosomal_L23	2
Ribosomal_L24e	2
Ribosomal_L28e	2
Ribosomal_L2_C	2
Ribosomal_L30_N	2
Ribosomal_L39	2
Ribosomal_L4	2
Ribosomal_L44	2
Ribosomal_S11	2
Ribosomal_S14	2
Ribosomal_S15	2
Ribosomal_S17	2
Ribosomal_S17e	2
Ribosomal_S2	2
Ribosomal_S27e	2
Ribosomal_S4	2
Ribosomal_S5	2
Ribosomal_S5_C	2
Ribosomal_S7	2
Ribosomal_S8e	2
Ribosomal_S9	2
SID-1_RNA_chan	2
SM-ATX	2
SRP54	2
SRP54_N	2
SRRM_C	2
SYF2	2
Smg4_UPF3	2
SpoU_sub_bind	2
TGT	2
TRM	2
TROVE	2
Translin	2
TruD	2
Tudor-knot	2
Utp14	2
XRN_N	2
eIF-3c_N	2
eIF-5_eIF-2B	2
eIF2A	2
eIF2_C	2
eRF1_1	2
eRF1_2	2
eRF1_3	2
rRNA_proc-arch	2
tRNA-synt_1c_C	2
tRNA-synt_1d	2
tRNA-synt_1e	2
tRNA-synt_1g	2
tRNA-synt_2d	2
tRNA_bind	2
tRNA_int_endo	2
zf-CCCH_2	2
zf-U11-48K	2
AAR2	1
AD	1
ARS2	1
AdoMet_MTase	1
Arg_tRNA_synt_N	1
B5	1
BOP1NT	1
BUD22	1
Btz	1
Bud13	1
Bystin	1
CMS1	1
CNPase	1
CPL	1
CPSF73-100_C	1
CWC25	1
Cgr1	1
DAP3	1
DBP10CT	1
DBR1	1
DCP2	1
DHHA1	1
DKCLD	1
DNA_RNApol_7kD	1
DRIM	1
DUF1604	1
DUF1693	1
DUF1917	1
