"","name","P1A1","P1A10","P1A11","P1A12","P1A2","P1A3","P1A4","P1A5","P1A6","P1A7","P1A8","P1A9","P1B1","P1B10","P1B11","P1B12","P1B2","P1B3","P1B4","P1B5","P1B6","P1B7","P1B8","P1B9","P1C1","P1C10","P1C11","P1C12","P1C2","P1C3","P1C4","P1C5","P1C6","P1C7","P1C8","P1C9","P1D1","P1D10","P1D11","P1D12","P1D3","P1D4","P1D5","P1D6","P1D7","P1D8","P1D9","P1E1","P1E10","P1E11","P1E12","P1E2","P1E3","P1E4","P1E5","P1E6","P1E7","P1E8","P1E9","P1F1","P1F10","P1F11","P1F12","P1F2","P1F3","P1F4","P1F5","P1F6","P1F7","P1F8","P1F9","P1G1","P1G10","P1G11","P1G12","P1G2","P1G3","P1G4","P1G5","P1G6","P1G7","P1G8","P1G9","P1H1","P1H10","P1H11","P1H12","P1H2","P1H3","P1H4","P1H5","P1H7","P1H8","P1H9","P2A1","P2A10","P2A11","P2A12","P2A2","P2A3","P2A4","P2A5","P2A6","P2A7","P2A8","P2A9","P2B1","P2B10","P2B11","P2B12","P2B2","P2B3","P2B4","P2B5","P2B6","P2B7","P2B8","P2B9","P2C1","P2C10","P2C11","P2C12","P2C2","P2C3","P2C4","P2C5","P2C6","P2C7","P2C8","P2C9","P2D1","P2D10","P2D11","P2D12","P2D2","P2D3","P2D4","P2D5","P2D6","P2D7","P2D8","P2D9","P2E1","P2E10","P2E11","P2E2","P2E3","P2E4","P2E5","P2E6","P2E7","P2E8","P2E9","P2F1","P2F10","P2F11","P2F2","P2F3","P2F4","P2F5","P2F6","P2F7","P2F8","P2F9","P2G1","P2G10","P2G11","P2G2","P2G3","P2G4","P2G5","P2G6","P2G7","P2G8","P2G9","P2H1","P2H10","P2H11","P2H2","P2H3","P2H4","P2H5","P2H6","P2H7","P2H8","P2H9"
"YER025W","GCD11",-4.82589954991434,-5.25409159081878,-4.99449653265325,-5.27162231510917,-5.30328368935596,-4.7121395957351,-4.84848492399131,-4.86527847254815,-5.00117744792868,-4.16372016359343,-4.33206166759739,-5.09240991877707,-5.13123876362593,-5.12641521401756,-4.69965455492848,-2.65112287909828,-4.44583582192811,-5.0404782428513,-3.87544854572762,-4.51369336531317,-4.4687443684634,-3.96144015324846,-4.71728170982266,-4.06630788010163,-3.69916889793068,-4.69245480531095,-4.85791876902306,-5.05358779337975,-4.47564421891472,-4.85143629536042,-4.87981251625842,-5.47028590507058,-4.78718312612759,-4.67828681587262,-5.30202116238375,-4.40713812097869,-4.78855681561002,-2.37309205442439,-4.59192913393937,-3.56622232923856,-3.56451476209428,-4.67894919297937,-4.95805470962958,-5.12661279824959,-4.94034889996177,-2.75720298159656,-4.6002691465705,-4.40387624161232,-4.39472749725491,-4.18096928173741,-4.36237788108833,-5.11297091952536,-4.66718230651121,-4.80769544985986,-4.01838502559864,-5.10606601128528,-4.44922625771397,-3.59683344179061,-4.71145156302038,-4.99857671596914,-4.79989198839262,-4.83865690724801,-4.10601981606217,-4.8520082650212,-4.86171955615114,-4.54650232561335,-4.80951910342437,-4.25618249434895,-2.52396313513698,-4.60250067078603,-3.71297197110328,-3.5067532702193,-5.16907220586934,-5.3429627816466,-4.86641803434705,-4.83356731842477,-3.76108261708387,-5.19742535467504,-4.74758427433879,-4.75426817408729,-4.85748905754423,-5.0345849123456,-5.27517914298569,-5.38915435313821,-3.87527884858941,-3.37663071539281,-3.9569762363319,-3.72973373945982,-3.31600855334575,-3.57354919891084,-2.54984714799351,-3.14840838895048,-4.04630647834528,-4.61506025697644,-3.79105338254718,-2.99232285795998,-2.64326433776635,-4.54450443135867,-2.91700063884319,-4.75085622921863,-4.41747101748963,-1.86857299140619,-3.16832097546732,-4.09952121378475,-4.65590458168718,-4.36262560849063,-3.2240317717673,-4.26436696855533,0,-2.76653611372002,-4.36170124235204,0,0,-2.81893440747845,0,-2.48005625732977,0,-4.44605324552859,-2.58451134759386,-2.6781584641519,-2.31631496027901,0,-3.82598082205752,-2.54178934472368,-2.10382490604591,-3.70585675979108,0,-3.97034138974242,-3.24695872056505,-3.51720172786184,-4.07022200837761,-4.24971889687324,-4.49453154656768,-4.04549465055757,-4.09593031974155,-4.91045371678799,-3.30672404235425,-4.14160040174667,-2.57752143964483,-2.64487120906839,-2.16355417877472,-3.38907716356958,-3.95492812384899,0,-4.55584563572566,-4.22759832319306,-3.02913293097232,-2.24594976844807,-1.8781782496127,-2.8691317819196,-2.76240415746621,-2.97603955634042,-3.38164375126139,-5.02259526268012,-2.39441078348958,0,-2.23196407608543,-3.36758388465532,-4.18042592290053,-4.25464092970821,-2.41460367379877,-2.01846448223232,-3.99273996079661,0,-4.37893037185778,-3.30031520893842,-2.80618335694487,-3.10644685452112,-4.54883049355821,-3.28068039100743,-2.34835248042975,-2.75921738001309,-3.5800838859399,-2.65083298195474,-4.05376691106395,-3.71968700536732,-3.68488770081287,-2.96693444047049,-4.06635791690114,-3.16515172983828,-3.59378933779434,-4.31357164602895,-2.91411312498861,-3.03603995950261,-2.5715249046085,-2.9435732003451
"YPL237W","SUI3",-4.82790201908974,-5.60052460672654,-5.07641245667409,-4.54684039652545,-5.87537637201928,-4.82905350376164,-5.05675291348021,-4.99363390174217,-5.06490071455241,-4.39270554318825,-4.62814400608035,-5.53512103385298,-5.18307677277692,-5.52641612456062,-4.13176044632961,-1.92062793241594,-4.5325688083752,-5.12342234196949,-3.89040062691608,-4.98806533400665,-4.79234165867993,-4.17200369533973,-4.91223113235675,-4.00390523166172,-3.69036919346939,-5.09126943848924,-4.46742480765325,-5.49888151603009,-4.91994553977556,-5.29834635991241,-5.08543397694427,-5.73235924695571,-5.04317330983932,-4.90837787667793,-5.84801707885948,-4.92428771123172,-5.15125270761081,-2.29525775822668,-5.41315304603497,-3.90642886556852,-3.64304453738818,-5.29214776044489,-5.73418132561499,-5.99201363874396,-5.21645590087452,-2.64442274187282,-4.71846433882291,-5.07118245343929,-4.30730597905998,-4.50264098519478,-4.34726919831995,-5.63303082919283,-5.07888573413942,-5.18855484235213,-4.06650876659471,-5.4860523166975,-4.92505627014774,-3.64143736118338,-5.30316112562463,-5.51629221730361,-5.52537403595405,-5.58758067242007,-4.14404524261313,-5.49005835744944,-5.34895336483296,-4.74619246642543,-5.06113089796313,-4.44027483225165,-2.63954442955755,-5.28820875897675,-4.06064703859769,-3.5650229805592,-5.79009353798455,-5.78924857872121,-5.30094300717287,-5.24080496898395,-3.72434700420637,-5.77264316843378,-5.30004885929937,-5.06429708661479,-5.17712209140537,-5.68663845048051,-5.66792900520888,-5.74153949815457,-2.76492361336121,-2.63014522585377,-4.00401218091326,-3.78680712420226,-2.70330551888706,-2.70497871163589,0,-2.53963400886011,-3.94686760053416,-3.95524831630448,-3.63043094476391,-2.93442888500197,0,-3.92430145256068,-2.98671579107426,-4.47597870440101,-4.43300338513049,0,-3.13045121249015,-3.09385279987733,-3.20804820392735,-4.4294687590511,-3.43184055471154,-4.07519934152167,0,0,-4.50773190964956,0,0,0,0,-2.32666461675472,0,-4.61318572204489,-2.09782838481917,-2.40156188784489,-2.03984055854875,0,-3.7625279224572,-2.57298913016528,-1.83786191959877,-3.97344449885569,0,-3.96552844144244,-3.11684347432278,-3.56475688554134,-4.09107725888906,-4.21282716195699,-4.33140636785808,-4.08487392733024,-4.24290473916614,-5.22933977599121,-3.26019926771049,-4.30622582290088,0,-2.48459199047699,-2.0291584539478,-3.29476383591274,-4.08370548667535,0,-2.53614127598606,-4.75224201549644,0,-2.11872383312708,-1.71972534880878,-2.64864790611217,-2.67429301693741,-2.99702380030591,-3.46359203314185,-5.73376361501881,-2.49262847235702,0,-2.25579346136628,0,-4.07179307646517,-3.46743436757558,-2.32250298270976,-2.03099536824972,-3.90976341378061,0,-4.81133107501388,-3.30513961539875,-2.74807007614109,-3.2828735736715,-4.93917362227612,-3.39351863410147,-2.34743663009165,-2.7793912898851,-3.81547190147136,-2.65800869604892,-4.26122650525464,-4.04041537171047,-3.64998711344248,-2.7273138715541,-4.40032278947857,-3.26909523532669,-3.92083016228665,-4.59819193362169,-3.05061104957808,-2.91833656503983,-2.6738641600001,-2.86943177046051
"YLL013C","PUF3",-2.00638767978717,-3.18320397620467,-3.14817289263742,-2.87450081894981,-2.13306771257864,-2.12874376627594,-2.16148519301708,-2.26020492071805,-3.21061930395174,-2.49642252785054,-3.05722704225844,-3.1407906922486,-2.36102760836589,-2.45735531341338,-2.53581214454965,-2.80734747238205,-2.32002192755667,-2.31527090533041,-2.35099602871517,-2.36915286538576,-2.36471025373762,-2.24240687840635,-2.28163427790435,-2.40594227562629,-2.49627318245596,-2.93147834770669,-2.84825959542262,-2.95173699966032,-2.45959633340488,-2.55552307282398,-2.06435712907966,-3.28604734496129,-3.03629557643783,-2.94553911320467,-3.11612588867263,-2.77034972719608,-2.81695411517565,-2.81469211093493,-2.40532671418938,-2.46926188620636,-2.77039371032864,-2.38008924156424,-2.50811319678348,-2.77120465646072,-2.81816022062732,-2.97017593707999,-2.88217888880012,-2.41688445833463,-2.15790156768131,-2.08462468576938,-2.17213340525821,-2.57296943682113,-2.42218472305845,-2.65254887939888,-2.80794818083539,-2.78153836973908,-2.93362524694905,-3.00811197131817,-1.84849111495184,-2.24879251451233,-2.38172711015717,-2.35692536692409,-2.71533722386614,0,0,0,0,0,-2.4158573979172,-2.31944436757996,-2.38227651659057,-2.61129357992086,-2.30965330192938,-2.58177287905576,-2.59770414079183,-2.74659278221882,-2.73949248285713,-2.8700744846212,-2.65729703771606,-2.5948166089312,-2.62713756136412,-2.61621870038032,-2.81200177802505,-2.7298928613833,-2.71265422284906,-2.72820507923448,-2.89323203286112,-2.80331255074645,-2.89695582837552,-2.81842278552144,-2.06982876318845,-2.62579513116284,-2.67919286260675,-2.89985546130012,0,-2.81717784873192,-2.29074575999424,-2.66125365895082,0,0,0,-2.87861835947861,-2.19674734589022,-2.91952556551446,-2.91036673031405,-2.87235066693223,-2.19357826666515,-2.12210882680371,-2.72240087406429,-2.59146416122183,-2.61319396241989,0,0,0,0,0,-2.334172800796,-2.14725594560386,-2.62564243331818,-2.68898646466546,-3.01026723958905,-3.00488909336994,-2.65842682312423,-2.6578058050256,-2.87204173649769,-2.18196727478875,-1.86405111374872,0,0,0,-3.12642882216703,-2.85951848715293,-2.48530079517487,-2.53598424975944,-3.04630157113607,-3.00275897882855,-2.22990451112808,-2.68357771383064,-2.44813421999095,-2.5176732352568,-2.55064293898322,-2.49302860561913,-3.11509217777246,-2.59939424809928,-2.23474669564557,-2.58864014750899,-3.11269671877425,-2.60256843326213,-2.48308051694212,-2.53753262846554,-2.69657423634834,-2.61068511012449,-2.35347625594155,-2.40683306067637,-1.98686174050332,-2.01460298327777,-1.94353198800955,0,-1.59432500382509,-1.61889806866246,-1.70030459471327,-2.02231309254161,-2.05294861983236,-2.07923969316673,-1.82264483386995,-2.37513294107819,-2.07364916911164,-1.76614845501272,-1.89297957469298,-2.0020961796371,-1.94655383996012,-2.26229498952933,-2.36439541683614,-2.2604439792459,-2.49389215120676,-2.126005282749,-2.51774930648224,-2.90269471275125,-2.0974679845419,-2.2456427487258,-2.03363874510081,-2.12912366171849,-2.28751999550408,-2.30905524690941,-2.14123880243712,-2.22162893995085
"YPL263C","KEL3",0,0,0,1.67919473554918,0,0,0,0,0,2.89331192534585,0,0,0,0,0,4.51889720850351,0,0,2.43076223164445,0,0,0,0,2.28419801170766,0,0,2.17085452689247,0,0,0,0,0,1.9672201062761,0,0,0,0,2.39786465910165,0,0,3.7070348782098,0,0,0,0,2.7683502758555,0,0,0,0,3.09073427919012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27601175642706,0,0,0,0,0,0,0,0,0,0,0,0,3.09924126773321,3.46929800532179,0,0,4.47423052315572,4.01345864568941,4.05743935492242,3.75993805625329,0,3.23104070944981,0,2.26838828484617,4.01917816560528,1.87997970390437,0,0,0,0,0,0,0,0,1.73088955080274,0,4.75177439858666,3.68969355379659,0,0,0,0,0,0,0,0,0,0,0,4.80655441941351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77548586170388,0,0,0,0,0,0,3.13223941310448,0,5.15331010878739,2.61797200430147,3.0181219293114,0,0,0,0,0,0,6.46888837808133,0,4.20880613089313,0,0,2.47948277979152,0,0,0,0,0,2.79104989691323,0,0,0,0,3.39920843489044,0,0,0,0,3.10266628396798,4.58882414372334,0,0,0,2.49242068248285,0,2.59637431454503,2.80280597738831,4.07017943883241
"YDR174W","HMO1",0,0,0,0,0,0,0,0,0,3.10003221849471,0,0,0,0,0,4.88978168613327,0,0,0,0,0,0,0,2.41535091660509,2.73493331641903,0,2.31520919879878,0,0,0,0,0,0,0,0,0,0,3.2928510276035,0,0,4.10090257921914,0,0,0,0,3.27721795743465,0,0,0,0,3.39448448945767,0,0,0,0,0,0,0,0,0,0,0,3.4037012457485,0,0,0,0,0,2.51839441961107,0,0,2.75877295070578,0,0,0,0,0,0,0,0,0,0,0,0,4.10700716159141,4.32055522135308,0,2.61429267382733,5.14264618720405,4.59603140276188,4.53391378046809,4.82447934418094,0,4.93721668738809,0,1.56740947259886,4.25542067941645,2.08742773248024,0,0,0,0,0,2.11224987015961,0,0,2.16636553665258,0,4.55416981692809,4.18509211556689,0,0,0,0,0,0,0,0,2.45875362065487,0,0,5.54948365190718,0,0,0,0,0,0,0,0,0,0,0,2.09709802973485,0,0,0,1.79782639762397,2.73628791952632,0,2.2284467393362,0,0,0,3.6515475659089,0,5.72102891828695,0,0,0,0,0,0,0,0,6.88088823088084,2.35787116924926,5.68795819691246,0,0,0,0,2.53881063507568,0,0,5.57982329130323,3.4672760913836,0,0,0,3.45004243746306,4.20111665408767,0,0,0,0,4.16663394074976,5.10600409588804,0,0,0,2.91629624672998,0,2.65806176556393,2.71422480048205,4.25130542627024
"YLR399C","BDF1",0,0,0,2.93544248998725,0,0,0,0,0,2.92335472611841,0,0,0,0,0,4.419689452335,0,0,2.02113580628169,0,0,0,0,2.18775055199435,3.46038793312949,0,1.90978266982022,0,0,0,0,0,2.15943886726386,0,0,0,0,3.04987968712033,0,0,4.10690577389271,0,0,0,0,3.20334192776402,0,0,0,0,3.55747292980907,0,0,0,3.74200170625906,0,0,2.67611482721846,0,0,0,0,3.49728335280663,0,0,0,0,0,2.53945921937561,0,0,3.24994467854192,0,0,0,0,0,0,0,0,0,0,0,0,4.43429595928445,5.3093878230673,1.80122354788783,2.98913861690997,5.82985872374699,5.38674853039371,4.08816178052152,5.03940799949206,0,5.05596493466888,0,1.52097244351404,3.95424835854131,1.76008824065091,0,0,0,0,0,2.02235052794769,0,0,2.42469485664347,0,4.36205707941047,3.38100788372755,0,0,0,0,0,0,0,0,0,0,0,5.26135216635294,0,0,0,0,0,0,0,0,0,0,0,2.06366413796294,0,0,0,0,2.43648775691232,0,0,0,0,0,3.10256171777349,0,6.01436956753558,0,0,0,0,0,0,0,0,6.66087520438589,0,5.27950513628409,0,0,0,0,0,0,0,5.33497361166048,3.34494236036381,0,0,0,3.27013511043096,3.79723668153333,0,0,0,1.8678322963457,4.54267990804271,5.62186303506104,0,0,0,3.05797912198009,1.75929372399833,2.83797091984852,3.02085670690198,4.3744952923213
"YPR018W","RLF2",0,0,0,2.65199884324328,0,0,0,0,0,1.92835959202296,0,0,0,0,0,4.18103911788926,0,0,1.5850546264119,0,0,0,0,0,2.65340567696423,0,0,0,0,0,0,0,0,0,0,0,0,2.9023838146505,0,0,3.17183029280931,0,0,0,0,2.68837961450027,0,0,0,0,2.5849051785976,0,0,0,2.26635278279631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42097158424521,0,0,0,0,0,0,0,0,0,0,0,0,4.01843618653249,5.02414196262941,0,2.48678318738432,4.87632974467136,4.66501903175072,3.0226775542631,4.71868224266919,0,4.25325317851296,0,0,2.90376758540604,0,0,0,0,0,0,0,0,0,0,0,4.05687417989461,3.45968350439636,0,0,0,0,0,0,0,0,0,0,0,3.91042655027588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09049635786278,0,0,0,0,0,2.81726091586834,0,5.53251494412565,0,0,0,0,0,0,0,0,5.75936888171616,0,5.46838701432173,0,0,0,0,0,0,0,3.94595462841545,2.51276642680675,0,0,0,2.49203840544466,2.90689885240235,0,0,0,0,3.31425689795717,4.47721394175189,0,0,0,2.17801094367874,0,2.19979178014615,2.23878425741163,3.47463150098952
"YLR449W","FPR4",0,0,0,2.32001139402294,0,0,0,0,0,2.35118989968927,0,0,0,0,0,3.83271193109162,0,0,0,0,0,0,0,1.76742827896758,2.17354325687283,0,0,0,0,0,0,0,0,0,0,0,0,2.83229127039395,0,0,3.0296472083131,0,0,0,0,2.79459904712438,0,0,0,0,2.92158864704395,0,0,0,2.82566025673147,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04415814230699,0,0,2.48340319971024,0,0,0,0,0,0,0,0,0,0,0,0,2.9632847074903,3.08736634763811,0,2.37899930244148,3.78092558727921,3.34712165596551,2.56449235314888,3.56928385206963,0,3.61895774560134,0,0,2.62751600867813,1.79970821325391,0,0,0,0,0,1.82422077064192,2.75723805329064,0,0,0,3.46674928337922,2.68507465172843,0,0,0,0,0,0,0,0,0,0,0,3.72619572353825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13026175271106,0,0,0,0,0,3.19746411580424,0,4.04391461329705,0,0,0,0,0,0,0,0,5.22053406255665,1.72013217743052,4.60385017710191,0,2.55975173018506,0,0,2.12146130429807,0,0,4.0587557660275,2.66069334668277,0,0,0,2.74383231557369,3.0969815454818,0,0,0,1.52057549058002,3.64265935373147,4.62549798384507,0,0,0,2.55854462162815,0,2.54826592056248,2.41206623664256,3.70193049097959
"YML074C","FPR3",0,0,0,3.09393669279455,0,0,0,0,0,2.68357878158569,0,0,0,0,0,3.89478970536778,0,0,1.75647211782001,0,0,0,0,1.83058638225032,3.10598441158989,0,1.82263733190779,0,0,0,0,0,0,0,0,0,0,2.95836532119485,0,0,3.76032372311971,0,0,0,0,2.99707525345175,0,0,0,0,3.25395069627769,0,0,0,3.08409231040568,0,0,2.1706038444642,0,0,0,0,3.32937732711592,0,0,0,0,0,2.62555640173145,0,0,2.75805274704982,0,0,0,0,0,0,0,0,0,0,0,0,3.46691445518831,4.11380659357123,0,2.47383691149896,4.57826548853314,3.84584172192349,3.03491901884316,4.24191058225869,0,4.6494023031933,0,0,3.12677975205653,2.04749078507917,0,0,0,0,0,1.64135258787681,2.91829022703289,0,0,0,3.35034014612086,2.92441687050094,0,0,0,0,0,0,0,0,0,0,0,3.62886001889695,0,0,0,0,0,0,0,0,0,1.62815493408586,0,0,0,0,0,0,1.99164378266746,0,0,0,0,0,3.83519421982188,0,4.86311636907326,0,0,0,0,0,0,0,0,5.75471521576337,1.83849923310326,5.34728442875217,0,3.09894634834595,0,0,2.62522489309322,0,0,4.9423202489339,3.15298441025699,0,2.6780350134806,0,3.74649605208113,3.79911732815352,0,0,0,1.68263489080724,4.10909469272736,4.9148422169162,0,0,0,2.72965571427031,0,2.58018695578113,2.4443989990039,3.63103092185999
"YMR260C","TIF11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22686930533387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87282674144881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93202049091352,3.18502673372096,0,0,0,0,0,0,0,0,0,0,0,0,4.49505791063795,0,0,0,0,4.94564081684941,0,0,0,0,0,0,0,0,0,0,0,7.76193941716642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07820122265362,0,0,0,0,0,4.08705864700169,0,0,0,0,0,0,0,0,0,0,6.67694102743431,0,5.92243258513469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20149127718612,0,0
