"","name","P1A1","P1A10","P1A11","P1A12","P1A2","P1A3","P1A4","P1A5","P1A6","P1A7","P1A8","P1A9","P1B1","P1B10","P1B11","P1B12","P1B2","P1B3","P1B4","P1B5","P1B6","P1B7","P1B8","P1B9","P1C1","P1C10","P1C11","P1C12","P1C2","P1C3","P1C4","P1C5","P1C6","P1C7","P1C8","P1C9","P1D1","P1D10","P1D11","P1D12","P1D3","P1D4","P1D5","P1D6","P1D7","P1D8","P1D9","P1E1","P1E10","P1E11","P1E12","P1E2","P1E3","P1E4","P1E5","P1E6","P1E7","P1E8","P1E9","P1F1","P1F10","P1F11","P1F12","P1F2","P1F3","P1F4","P1F5","P1F6","P1F7","P1F8","P1F9","P1G1","P1G10","P1G11","P1G12","P1G2","P1G3","P1G4","P1G5","P1G6","P1G7","P1G8","P1G9","P1H1","P1H10","P1H11","P1H12","P1H2","P1H3","P1H4","P1H5","P1H7","P1H8","P1H9","P2A1","P2A10","P2A11","P2A12","P2A2","P2A3","P2A4","P2A5","P2A6","P2A7","P2A8","P2A9","P2B1","P2B10","P2B11","P2B12","P2B2","P2B3","P2B4","P2B5","P2B6","P2B7","P2B8","P2B9","P2C1","P2C10","P2C11","P2C12","P2C2","P2C3","P2C4","P2C5","P2C6","P2C7","P2C8","P2C9","P2D1","P2D10","P2D11","P2D12","P2D2","P2D3","P2D4","P2D5","P2D6","P2D7","P2D8","P2D9","P2E1","P2E10","P2E11","P2E2","P2E3","P2E4","P2E5","P2E6","P2E7","P2E8","P2E9","P2F1","P2F10","P2F11","P2F2","P2F3","P2F4","P2F5","P2F6","P2F7","P2F8","P2F9","P2G1","P2G10","P2G11","P2G2","P2G3","P2G4","P2G5","P2G6","P2G7","P2G8","P2G9","P2H1","P2H10","P2H11","P2H2","P2H3","P2H4","P2H5","P2H6","P2H7","P2H8","P2H9"
"YER025W","GCD11",-2.40526773491066,-1.65056704819879,-1.58647466418817,-1.83392618306338,-2.48622378843515,-2.21357763690771,-2.24312659631205,-2.15258290429811,-1.55769867881036,-1.66787477566085,-1.41699049750561,-1.62137831449419,-2.17330739608646,-2.0861513945644,-1.85331337143001,0,-1.91629043205218,-2.1770576528417,-1.64842836754836,-1.90519296211738,-1.88976402559264,-1.7666018559771,-2.06750124483378,-1.69011032446451,-1.48187663270542,-1.60071276289039,-1.70557444160993,-1.71207251661015,-1.81966616152781,-1.89841224559923,-2.36384124021892,-1.66470087944975,-1.57665253780856,-1.58826165128826,-1.70147848700755,-1.59082374247357,-1.69990586279444,0,-1.90906670052384,-1.44424629447365,-1.28664555828472,-1.96587132586015,-1.976806595487,-1.84995820727189,-1.75304046370439,0,-1.59610812654507,-1.82212940565923,-2.03657458851429,-2.00562207205866,-2.00833791816288,-1.98718680694566,-1.92684821354915,-1.81248137864641,-1.43107520752151,-1.83569857127811,-1.51663074973231,-1.19571128870394,-2.54880941807672,-2.22278253049642,-2.01529888454596,-2.05295295945782,-1.51215833524204,-4.01951661624675,-3.88984781709593,-3.50299439642524,-4.37507470563121,-3.40818768617589,-1.0447483933915,-1.98431173220513,-1.55858144310517,-1.34291804536416,-2.23802949193775,-2.06949372851136,-1.87335345774353,-1.75984126577366,-1.37291218742871,-1.81090260288524,-1.78662159591286,-1.83221741286971,-1.84896639177966,-1.92437463718676,-1.87595156738863,-1.97412668803691,-1.42859300531096,-1.23767481451221,-1.36766639916497,-1.33047374202591,-1.14465278374825,-1.26792517335177,-1.23191212400856,-1.19903047712493,-1.51027069936592,-1.59147940942799,-1.66456228814905,-1.06217037710519,-1.15388812845516,-1.70765549389618,-1.47840771811174,-2.06750680514638,-1.98474174569069,0,-1.44227827628642,-1.40417376789176,-1.59976560108106,-1.5188346112176,-1.46975916964601,-2.00949494893636,0,-1.06755715750113,-1.66910734720701,-1.40359904269254,-1.42210545601651,-1.47957180511087,-1.27771770625812,-1.28815236242011,0,-2.07057442529435,0,0,0,0,-1.43918982037699,0,0,-1.69840162252198,-1.35561816539942,-2.30433428486219,-1.82341478882269,-2.10957147683724,-1.30187579500256,-1.48616591078747,-1.80844570415527,-1.59523650469885,-1.34455838468219,-1.6353139733858,-1.48289939136516,-1.54331301098592,-1.05285135863766,-1.05052203440476,0,-1.35942169132388,-1.26960227760486,0,-2.03864073033547,-1.63313480526106,0,0,0,-1.13067778902003,-1.024412426786,-1.13994581146499,-1.43687183702158,-2.08680666089433,-1.20512199448917,0,-1.14840614399729,-2.23394695709641,-2.62206633708365,-2.62810921333881,-1.42010065802707,0,-1.944880608421,0,-2.40251435193776,-1.38952862463364,-1.35325849654069,-1.75888207228806,-2.40300030405557,-1.6386227716603,-1.2064153748133,-1.21965410911649,-1.51416461918645,-1.17270456878966,-1.62547803404505,-1.74961324675432,-1.46356418064566,-1.02213106581173,-1.93869844348984,-1.40946360752805,-1.76717194558377,-2.02598455110274,-1.27391809938975,-1.31484076163454,-1.20095194505238,-1.32496167447757
"YPL237W","SUI3",-2.40626578189608,-1.7593985960661,-1.61249481200547,-1.58178434549434,-2.75442562717177,-2.26849918729753,-2.339480709753,-2.20937219274601,-1.57754633453999,-1.75960018553848,-1.51383719367517,-1.7623336211208,-2.19526309409157,-2.24892838833476,-1.62936377413059,0,-1.95367498666216,-2.21288244506244,-1.65478825969868,-2.10542148076818,-2.02660839783869,-1.86050254104854,-2.15294413303984,-1.66417343933136,-1.47835149590423,-1.73675832962306,-1.56847529446851,-1.86293071390266,-2.00030609614902,-2.0732923197823,-2.46344680642127,-1.74445424705931,-1.66096257194959,-1.66637674396309,-1.87669474462425,-1.77749677699201,-1.8286604953413,0,-2.25048556360431,-1.58202290627429,-1.31499162873714,-2.22350812231174,-2.28625300204503,-2.16224147313491,-1.85101466648101,0,-1.63711709816432,-2.09823123151431,-1.99606230588554,-2.15992884279454,-2.00138222992946,-2.1893112092899,-2.09682014992085,-1.95606380061428,-1.44821360819589,-1.97230869664836,-1.67882938533808,-1.21053916739266,-2.8689135061181,-2.45300185842172,-2.31990223077632,-2.37070751192778,-1.52616227781564,-4.54809216856022,-4.27968218438648,-3.6568518882262,-4.60395837866646,-3.55560176909935,-1.09259115700836,-2.27994636685091,-1.70452380750877,-1.36523254526871,-2.50691025061977,-2.24235393658583,-2.04062615289093,-1.9081113891045,-1.35950254564017,-2.01132172679333,-1.99452631153902,-1.95169749923127,-1.97063228341845,-2.17360974052125,-2.01562070461763,-2.1032105616208,-1.01926872583755,0,-1.38392363123178,-1.35083300761235,0,0,0,0,-1.47315546246044,-1.36394671013402,-1.59403675722526,-1.04162003343979,0,-1.47460631547156,-1.51374107311869,-1.94788391492988,-1.99172034008196,0,-1.42503926013465,-1.05971080932533,-1.10228314889415,-1.54210584732745,-1.56449423613632,-1.92035360771751,0,0,-1.72498940931092,-1.29060960996347,-1.43161643613674,-1.49325984035743,-1.26452817216918,-1.20848005514955,0,-2.14840980251544,0,0,0,0,-1.4153212304845,0,0,-1.82103762268405,-1.30598037703212,-2.30154091253215,-1.75034516131348,-2.13809443684334,-1.30854642520005,-1.47326453068379,-1.74280971392572,-1.61076470712219,-1.39280522301796,-1.74151166072986,-1.46203537032229,-1.60465851266667,0,0,0,-1.3215908668222,-1.31094210175043,0,-1.1348674464662,-1.83580634800455,0,0,0,-1.04378870892148,0,-1.147983641797,-1.47169193842416,-2.38228554721926,-1.25455557452406,0,-1.160667010002,0,-2.55392913408255,-2.14184847996044,-1.3659334862301,-1.00429324012199,-1.90446237962832,0,-2.63975240025132,-1.3915598399719,-1.32523385203023,-1.85877555442974,-2.60920597787073,-1.69498282281153,-1.20594487647963,-1.2285715623953,-1.61371988555828,-1.17587903989359,-1.70866510935233,-1.90047287487737,-1.44970236077323,0,-2.09792131365458,-1.45575035796839,-1.92798754042832,-2.15966409856642,-1.33358880166022,-1.26386606338065,-1.24874635979731,-1.29158912132464
"YGL099W","LSG1",-2.250698887163,-1.57951271865708,-1.57930448759004,-1.69451165006202,-2.19330264042592,-2.19690095612208,-2.16780165330874,-2.14215815867208,-1.57553766837441,-1.89010017147082,-1.51776652477228,-1.61480097316524,-2.14547128447696,-1.8159255838252,-1.73036879121553,-1.16942620115747,-2.01119345728349,-2.17149985876917,-1.85862493470736,-1.71190598671066,-1.81414560395329,-1.78629497304601,-2.0175397280001,-1.8645726573095,-1.61947658713544,-1.57143438412819,-1.6463445590472,-1.55682782936718,-1.74612889835555,-1.75750694827622,-2.28451963779662,-1.61647819856649,-1.5875395878245,-1.5925430228634,-1.65244982427389,-1.57308574428424,-1.58568012986251,-1.11684036554305,-1.7947153280537,-1.67605228450631,-1.64034216844584,-1.93574248687086,-1.81005573000803,-1.68964211737275,-1.67065905015212,-1.28148559474747,-1.61455716209354,-2.00292054239528,-2.00275554181822,-2.04587859264113,-2.1218253505383,-1.88398078814237,-2.03868244386855,-1.74845025848572,-1.60366067709391,-1.6649573782787,-1.51676166577995,-1.48281009132319,-2.33896720191662,-2.03397702490687,-1.79141296439135,-1.84548161923492,-1.68788209429219,-3.86258645303097,-3.84791014418969,-3.77386438802837,-4.26789301935287,-3.76955844331894,-1.29170966248351,-1.83503419553237,-1.67290000239062,-1.60741039716749,-2.10948962178117,-1.95317123674732,-1.75818586106908,-1.6296270597278,-1.55622598179705,-1.70647698568736,-1.69746070442561,-1.75591028771354,-1.6750419913271,-1.76194950607104,-1.67728417571654,-1.8357773116368,-1.42234634477028,-1.33272102667567,-1.50209821604236,-1.67183067566021,-1.41424683638993,-1.28750549820162,-1.51229619249007,-1.45466795198634,-1.58426897370346,-1.65299542602974,-1.13982787384661,-1.53521456309519,-1.36070427826006,-1.78303128122358,-1.10823294331712,-1.25769688624064,-1.27629924885251,-1.28105810576592,-1.76185659366258,-1.59713231275698,-1.64004999645115,-1.67911996572465,-1.36237858784545,-1.94069657928036,-1.02258572382888,-1.3779186228812,-1.80112609420278,-1.3606822416298,-1.31845929208001,-1.3950700938304,-1.27355928529425,-1.30731837516802,0,-1.91772600880944,-1.47324391080794,-1.30230617662572,-1.13871545096386,-1.20134089217422,-1.69219378853103,-1.41880628894588,-1.25313978864368,-1.4306556164512,-1.43353305664987,-1.7448763005922,-1.57839186443745,-1.70028678466265,-1.43492776944606,-1.44341984308352,-1.94800757228548,-1.81402795469683,-1.47463360784464,-1.55855226337621,-1.82807018167108,-1.73529798734842,-1.2994794832119,-1.61227584868465,-1.52341105392248,-1.7271060847409,-1.43212462346514,-1.1309065800474,-2.04239557185706,-1.79375160672596,-1.14529241018514,-1.4330681003438,-1.48558334517324,-1.62429929873469,-1.54192921322547,-1.46699624969,-1.70563777186624,-1.87341431597046,-1.86095812927114,-1.20615211578397,-1.66821670118489,-2.15284467831314,-2.87882132759651,-2.84958435578283,-2.10689249276736,-1.77903663026388,-2.02207001983085,-1.06784933460831,-2.29631009466685,-1.72048118870409,-1.86692844752937,-1.9381982846372,-2.25955185738191,-1.84508998473019,-1.6420857625335,-1.7691599528583,-1.7134517635072,-1.592422073102,-1.71868887414462,-1.93723500846974,-1.63808484420185,-1.38712979591657,-1.99509810756917,-1.77592638604214,-2.04556420245984,-2.02237407790852,-1.75375739925317,-1.81985691448938,-1.85842236284387,-1.88480333429189
"YLL013C","PUF3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YLL018C","DPS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22556046880017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01777261286054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41725463772972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02743300150319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40086331738981,1.12467585753856,0,0,0,0,1.17293806514085,0,0,0,0,0,0,1.32726664841349,0,0,0,0,0,0,0,0,0,0,1.10086780539634,0,0,0,0,0,0,0,0,0,0,1.15843155955373,1.02396794779583,0,0,1.23421306824456,1.41274377952941,1.27540985552401,1.22160097919606,0,0,0,0,2.34032749966532,1.33087656078408,1.47907577736676,1.80865180691229,1.24154814025768,1.79772177083096,0,0,1.45024156996758,0,1.22206965688956,1.04692679571926,0,0,0,0,1.32639686229555,0,0,0,0,0,1.01385729846374,1.0003567896294,0,0,0,0,1.07605295908536,1.23436244391273,1.61789618619094
"YOR198C","BFR1",0,0,0,0,0,0,0,0,0,1.29842443700447,0,0,0,0,0,1.198935828501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24080867684945,0,0,0,0,1.57185726523182,1.54140252031549,0,0,0,0,0,0,1.29195881778277,0,0,0,0,1.73355774503099,1.55846037633311,0,0,0,0,1.91276171840353,0,0,0,1.42955253352079,0,0,2.08563195376543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2166230341715,0,0,1.09742037927151,0,0,0,1.13987931499627,0,1.03782409981515,1.40271024207089,1.67538496849057,1.89539075051056,1.71903339665965,0,0,0,0,3.17307958619695,1.21348726787246,2.53382475133137,2.47759627432678,2.00571290574577,2.84550396913427,0,1.49691258352133,0,0,0,0,0,0,0,0,1.1300264692671,0,0,0,0,0,1.07896078974018,0,0,0,0,0,1.58765780244101,1.12605593927022,1.78790674439033
"YDR381W","YRA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02125571793235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28634668836667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31809781837793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YDR120C","TRM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32337608322316,0,0,0,0,0,1.09511752159466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04912217323304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66560373502212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YGR202C","PCT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0719442744676,0,0,0,0,0,1.06695978459383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05477170334011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16538048374853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YOL006C","TOP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07628145585544,0,0,0,0,0,1.14675559306211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15761598412919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44898028571709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
