# long format data from tab `Figure 4c` in `Source Data File.xlsx`
binder	loop	condition	type	sample	input	Cq
Pab1	RBG2	wildtype	+RT	NC13	0	30.8870251809465
Pab1	RBG2	wildtype	+RT	NC13	0	30.2318162958088
Pab1	RBG2	wildtype	+RT	NC13	0	29.9618648352338
Pab1	YEF3	wildtype	+RT	NC13	0	26.9539948191343
Pab1	YEF3	wildtype	+RT	NC13	0	25.9515128579487
Pab1	YEF3	wildtype	+RT	NC13	0	25.6030343659596
Pab1	RBG2	TAP	+RT	NC14	0	28.6405330176224
Pab1	RBG2	TAP	+RT	NC14	0	28.0122598696297
Pab1	RBG2	TAP	+RT	NC14	0	26.752377760849
Pab1	YEF3	TAP	+RT	NC14	0	24.8775919859754
Pab1	YEF3	TAP	+RT	NC14	0	23.3454756294445
Pab1	YEF3	TAP	+RT	NC14	0	22.6919513433695
Pab1	RBG2	wildtype	+RT	NC13	1	20.3482243028543
Pab1	RBG2	wildtype	+RT	NC13	1	19.2527404620026
Pab1	RBG2	wildtype	+RT	NC13	1	18.5588489794409
Pab1	YEF3	wildtype	+RT	NC13	1	13.9316923655817
Pab1	YEF3	wildtype	+RT	NC13	1	13.9049836890064
Pab1	YEF3	wildtype	+RT	NC13	1	13.5642400945617
Pab1	RBG2	TAP	+RT	NC14	1	20.6749102455387
Pab1	RBG2	TAP	+RT	NC14	1	19.8358917431225
Pab1	RBG2	TAP	+RT	NC14	1	19.3450635485275
Pab1	YEF3	TAP	+RT	NC14	1	15.5861345319098
Pab1	YEF3	TAP	+RT	NC14	1	14.1737511835202
Pab1	YEF3	TAP	+RT	NC14	1	13.4669750561429
Pab1	RBG2	wildtype	-RT	NC13	0	31.6240575949697
Pab1	RBG2	wildtype	-RT	NC13	0	29.0946057304562
Pab1	RBG2	wildtype	-RT	NC13	0	27.8759487200884
Pab1	YEF3	wildtype	-RT	NC13	0	30.4280150440099
Pab1	YEF3	wildtype	-RT	NC13	0	29.8335988368653
Pab1	YEF3	wildtype	-RT	NC13	0	29.1957617768563
Pab1	RBG2	TAP	-RT	NC14	0	31.0786304397345
Pab1	RBG2	TAP	-RT	NC14	0	29.8654993443661
Pab1	RBG2	TAP	-RT	NC14	0	29.4066284793522
Pab1	YEF3	TAP	-RT	NC14	0	31.6175062145835
Pab1	YEF3	TAP	-RT	NC14	0	31.218446977983
Pab1	YEF3	TAP	-RT	NC14	0	29.5357305980866
Pab1	RBG2	wildtype	-RT	NC13	1	23.7548994736169
Pab1	RBG2	wildtype	-RT	NC13	1	21.8438005658536
Pab1	RBG2	wildtype	-RT	NC13	1	21.7955867487624
Pab1	YEF3	wildtype	-RT	NC13	1	23.7721124623922
Pab1	YEF3	wildtype	-RT	NC13	1	22.7790659735656
Pab1	YEF3	wildtype	-RT	NC13	1	21.8604485817905
Pab1	RBG2	TAP	-RT	NC14	1	24.1160298005583
Pab1	RBG2	TAP	-RT	NC14	1	22.6030496808305
Pab1	RBG2	TAP	-RT	NC14	1	22.0031674296131
Pab1	YEF3	TAP	-RT	NC14	1	25.1484526391766
Pab1	YEF3	TAP	-RT	NC14	1	23.85809834219
Pab1	YEF3	TAP	-RT	NC14	1	23.2140283368816
Sbp1	PMA1	wildtype	+RT	NC13	0	28.0770053614606
Sbp1	PMA1	wildtype	+RT	NC13	0	27.9963642113146
Sbp1	PMA1	wildtype	+RT	NC13	0	28.3495694142784
Sbp1	PMA1	TAP	+RT	NC15	0	26.1958200647393
Sbp1	PMA1	TAP	+RT	NC15	0	26.515520646976
Sbp1	PMA1	TAP	+RT	NC15	0	25.9765225529839
Sbp1	PMA1	wildtype	+RT	NC13	1	12.4270832599933
Sbp1	PMA1	wildtype	+RT	NC13	1	11.7378244759744
Sbp1	PMA1	TAP	+RT	NC15	1	21.1363753721716
Sbp1	PMA1	TAP	+RT	NC15	1	20.4899235903073
Sbp1	PMA1	TAP	+RT	NC15	1	19.6876477372134
Sbp1	PMA1	wildtype	-RT	NC13	0	29.7379804247398
Sbp1	PMA1	wildtype	-RT	NC13	0	28.1892169205881
Sbp1	PMA1	wildtype	-RT	NC13	0	27.6791571406852
Sbp1	PMA1	TAP	-RT	NC15	0	28.5488926478115
Sbp1	PMA1	TAP	-RT	NC15	0	27.7780799775946
Sbp1	PMA1	TAP	-RT	NC15	0	27.4641759724252
Sbp1	PMA1	wildtype	-RT	NC13	1	12.4270832599933
Sbp1	PMA1	wildtype	-RT	NC13	1	11.7378244759744
Sbp1	PMA1	TAP	-RT	NC15	1	21.7655389530931
Sbp1	PMA1	TAP	-RT	NC15	1	20.760943848911
Sbp1	PMA1	TAP	-RT	NC15	1	20.6538315732731
Bfr1	BMH1	wildtype	+RT	NC20	0	27.8009125381979
Bfr1	BMH1	wildtype	+RT	NC20	0	28.0264572264154
Bfr1	BMH1	wildtype	+RT	NC20	0	28.1444060657884
Bfr1	BMH1	TAP	+RT	NC24	0	25.3646282112919
Bfr1	BMH1	TAP	+RT	NC24	0	25.2667235558751
Bfr1	BMH1	TAP	+RT	NC24	0	25.2064515110079
Bfr1	BMH1	wildtype	+RT	NC20	1	22.3532347019977
Bfr1	BMH1	wildtype	+RT	NC20	1	22.3217187316335
Bfr1	BMH1	wildtype	+RT	NC20	1	22.317125655091
Bfr1	BMH1	TAP	+RT	NC24	1	22.4651504047246
Bfr1	BMH1	TAP	+RT	NC24	1	22.4729800212641
Bfr1	BMH1	TAP	+RT	NC24	1	22.4042933449887
Bfr1	BMH1	wildtype	-RT	NC20	0	29.6853666917685
Bfr1	BMH1	wildtype	-RT	NC20	0	28.910496707258
Bfr1	BMH1	TAP	-RT	NC24	0	29.6094078259962
Bfr1	BMH1	TAP	-RT	NC24	0	29.9344018858746
Bfr1	BMH1	TAP	-RT	NC24	0	29.9819410251904
Bfr1	BMH1	wildtype	-RT	NC20	1	22.8425170561881
Bfr1	BMH1	wildtype	-RT	NC20	1	22.8250654159953
Bfr1	BMH1	TAP	-RT	NC24	1	23.4484409373178
Bfr1	BMH1	TAP	-RT	NC24	1	23.4783568655567
Bfr1	BMH1	TAP	-RT	NC24	1	23.431423708539
