Ensembl Gene ID	Ensembl Transcript ID	GO Term Name	GO Term Accession	GO Term Definition	GOSlim GOA Description
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	carbohydrate metabolic process
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	biological_process
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	"transferase activity, transferring glycosyl groups"
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	protein glycosylation
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	transferase activity
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	membrane
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	cellular_component
YAL023C	YAL023C	membrane	GO:0016020	"A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"	molecular_function
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	carbohydrate metabolic process
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	biological_process
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	"transferase activity, transferring glycosyl groups"
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	protein glycosylation
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	transferase activity
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	membrane
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	cellular_component
YAL023C	YAL023C	mannosyltransferase activity	GO:0000030	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid. [GOC:ai, GOC:cjm]"	molecular_function
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	carbohydrate metabolic process
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	biological_process
