GOID	GO term	Frequency	Genome Frequency	Gene(s)
2181	 cytoplasmic translation	"18 out of 136 genes, 13.2%"	"179 of 6341 genes, 2.8%"	"FUN12,RPS13,RPL28,RPL1B,RBG2,RPL2B,RPS22A,RPS5,RPL15A,RPS0B,RPL10,RPS28B,RPL13B,RPS7B,RPL18B,RPS12,RPL1A,RPL11A"
5975	 carbohydrate metabolic process	"16 out of 136 genes, 11.8%"	"256 of 6341 genes, 4.0%"	"PMT2,CDC19,PGK1,PSA1,ANP1,BMH1,KAR2,MNN11,FBA1,GFA1,PGM1,GPM1,PDC1,DAK1,PFK2,ADH1"
55086	 nucleobase-containing small molecule metabolic process	"15 out of 136 genes, 11.0%"	"198 of 6341 genes, 3.1%"	"CDC19,URA7,ATP1,PGK1,FMN1,ADE5,7,RPE1,BNA1,FBA1,GPM1,PDC1,URA5,PFK2,ADH1,FCY1"
51186	 cofactor metabolic process	"14 out of 136 genes, 10.3%"	"178 of 6341 genes, 2.8%"	"CDC19,NFS1,PGK1,HEM3,HEM13,FMN1,RPE1,BNA1,NFU1,FBA1,GPM1,PDC1,PFK2,ADH1"
32787	 monocarboxylic acid metabolic process	"12 out of 136 genes, 8.8%"	"127 of 6341 genes, 2.0%"	"CDC19,PGK1,DLD3,OLE1,MAE1,FBA1,GPM1,PDC1,PFK2,ADH1,FAS2,ANT1"
6364	 rRNA processing	"12 out of 136 genes, 8.8%"	"311 of 6341 genes, 4.9%"	"FUN12,RPS13,UTP6,ZUO1,NOP9,MTR4,RPS0B,CBF5,SPT5,RRP5,DBP2,RPS23B"
42221	 response to chemical	"10 out of 136 genes, 7.4%"	"442 of 6341 genes, 7%"	"PMT2,PDI1,AKR1,GCN4,ACT1,KAR2,SCP160,DAK1,YNL190W,TMC1"
6520	 cellular amino acid metabolic process	"10 out of 136 genes, 7.4%"	"153 of 6341 genes, 2.4%"	"MET6,GUS1,VAS1,MAE1,PDC1,ARG1,ADH1,HIS3,ALA1,CDC60"
6091	 generation of precursor metabolites and energy	"10 out of 136 genes, 7.4%"	"153 of 6341 genes, 2.4%"	"CDC19,PGK1,BMH1,YJR120W,FBA1,PGM1,GPM1,PDC1,PFK2,ADH1"
7005	 mitochondrion organization	"10 out of 136 genes, 7.4%"	"421 of 6341 genes, 6.6%"	"MIC12,NFS1,GGC1,ACT1,OLE1,MRPL9,SSC1,YJR120W,MRPL31,ALA1"
6457	 protein folding	"9 out of 136 genes, 6.6%"	"95 of 6341 genes, 1.5%"	"PDI1,CCT4,ZUO1,SSC1,CCT5,HSC82,MPD2,EGD1,SSE1"
42274	 ribosomal small subunit biogenesis	"8 out of 136 genes, 5.9%"	"135 of 6341 genes, 2.1%"	"FUN12,RPS13,UTP6,NOP9,RPS0B,SGD1,RRP5,RPS23B"
55085	 transmembrane transport	"8 out of 136 genes, 5.9%"	"230 of 6341 genes, 3.6%"	"ATP1,TAT1,GGC1,PMA1,KAR2,SSC1,MIR1,PHO84"
6605	 protein targeting	"8 out of 136 genes, 5.9%"	"303 of 6341 genes, 4.8%"	"AKR1,VMA3,KAP123,NUP49,KAR2,SSC1,GET4,EGD1"
51169	 nuclear transport	"7 out of 136 genes, 5.1%"	"176 of 6341 genes, 2.8%"	"KAP123,NUP49,ZUO1,NOP9,RPS5,RPS0B,RPS28B"
6414	 translational elongation	"7 out of 136 genes, 5.1%"	"334 of 6341 genes, 5.3%"	"GCN20,ZUO1,RPS5,STM1,YEF3,CAM1,RPS23B"
6811	 ion transport	"7 out of 136 genes, 5.1%"	"182 of 6341 genes, 2.9%"	"ATP1,TAT1,VMA3,PMA1,MIR1,PHO84,PFK2"
6417	 regulation of translation	"7 out of 136 genes, 5.1%"	"105 of 6341 genes, 1.7%"	"FUN12,GCN20,ZUO1,RPS5,STM1,CAM1,RPS23B"
6325	 chromatin organization	"6 out of 136 genes, 4.4%"	"318 of 6341 genes, 5.0%"	"BDF2,HTA1,ACT1,SCP160,FPR4,TAF9"
6629	 lipid metabolic process	"6 out of 136 genes, 4.4%"	"280 of 6341 genes, 4.4%"	"URA7,IPT1,OLE1,LAC1,FAS2,ANT1"
70925	 organelle assembly	"6 out of 136 genes, 4.4%"	"131 of 6341 genes, 2.1%"	"FUN12,RSA4,RPS0B,RPL10,RRP5,RPL11A"
6873	 cellular ion homeostasis	"6 out of 136 genes, 4.4%"	"125 of 6341 genes, 2%"	"NFS1,GGC1,VMA3,VMA8,NFU1,ZRC1"
71554	 cell wall organization or biogenesis	"6 out of 136 genes, 4.4%"	"198 of 6341 genes, 3.1%"	"PSA1,BMH1,ACT1,SMI1,KAR2,GFA1"
42255	 ribosome assembly	"6 out of 136 genes, 4.4%"	"59 of 6341 genes, 0.9%"	"FUN12,RSA4,RPS0B,RPL10,RRP5,RPL11A"
15931	 nucleobase-containing compound transport	"6 out of 136 genes, 4.4%"	"138 of 6341 genes, 2.2%"	"GGC1,NUP49,RPS5,RPS0B,RPS28B,ANT1"
6366	 transcription from RNA polymerase II promoter	"6 out of 136 genes, 4.4%"	"474 of 6341 genes, 7.5%"	"HTA1,GCN4,BMH1,SPT5,TAF9,CAM1"
23052	 signaling	"6 out of 136 genes, 4.4%"	"240 of 6341 genes, 3.8%"	"PMT2,AKR1,BMH1,SCP160,STM1,CDC60"
8150	 biological process unknown	"6 out of 136 genes, 4.4%"	"1047 of 6341 genes, 16.5%"	"YCP4,MRH1,YIR035C,YJR085C,YOR203W,CWC27"
6974	 cellular response to DNA damage stimulus	"5 out of 136 genes, 3.7%"	"299 of 6341 genes, 4.7%"	"HTA1,TPA1,BMH1,ACT1,SPT5"
9451	 RNA modification	"5 out of 136 genes, 3.7%"	"172 of 6341 genes, 2.7%"	"NFS1,NCS6,THG1,CBF5,TYW1"
70271	 protein complex biogenesis	"5 out of 136 genes, 3.7%"	"304 of 6341 genes, 4.8%"	"ARC40,GCN4,PMA1,FPR4,HSC82"
33043	 regulation of organelle organization	"4 out of 136 genes, 2.9%"	"287 of 6341 genes, 4.5%"	"ARC40,BDF2,BMH1,FPR4"
6281	 DNA repair	"4 out of 136 genes, 2.9%"	"246 of 6341 genes, 3.9%"	"HTA1,TPA1,ACT1,SPT5"
6486	 protein glycosylation	"4 out of 136 genes, 2.9%"	"62 of 6341 genes, 1%"	"PMT2,PSA1,ANP1,MNN11"
6401	 RNA catabolic process	"4 out of 136 genes, 2.9%"	"132 of 6341 genes, 2.1%"	"TPA1,MTR4,RPS28B,DBP2"
51321	 meiotic cell cycle	"4 out of 136 genes, 2.9%"	"280 of 6341 genes, 4.4%"	"BMH1,ACT1,SCP160,SUR7"
8033	 tRNA processing	"4 out of 136 genes, 2.9%"	"106 of 6341 genes, 1.7%"	"NFS1,NCS6,THG1,TYW1"
48193	 Golgi vesicle transport	"4 out of 136 genes, 2.9%"	"186 of 6341 genes, 2.9%"	"ERP1,GCS1,SFT1,SEC21"
6897	 endocytosis	"4 out of 136 genes, 2.9%"	"97 of 6341 genes, 1.5%"	"AKR1,VMA3,ACT1,SUR7"
42273	 ribosomal large subunit biogenesis	"4 out of 136 genes, 2.9%"	"104 of 6341 genes, 1.6%"	"RSA4,RPL10,RRP5,RPL11A"
6418	 tRNA aminoacylation for protein translation	"4 out of 136 genes, 2.9%"	"36 of 6341 genes, 0.6%"	"GUS1,VAS1,ALA1,CDC60"
7010	 cytoskeleton organization	"3 out of 136 genes, 2.2%"	"230 of 6341 genes, 3.6%"	"ARC40,GCS1,ACT1"
746	 conjugation	"3 out of 136 genes, 2.2%"	"124 of 6341 genes, 2%"	"AKR1,KAR2,SCP160"
16570	 histone modification	"3 out of 136 genes, 2.2%"	"114 of 6341 genes, 1.8%"	"ACT1,FPR4,TAF9"
18193	 peptidyl-amino acid modification	"3 out of 136 genes, 2.2%"	"150 of 6341 genes, 2.4%"	"ACT1,FPR4,TAF9"
54	 ribosomal subunit export from nucleus	"3 out of 136 genes, 2.2%"	"46 of 6341 genes, 0.7%"	"NUP49,ZUO1,NOP9"
43934	 sporulation	"3 out of 136 genes, 2.2%"	"133 of 6341 genes, 2.1%"	"BMH1,ACT1,SUR7"
32543	 mitochondrial translation	"3 out of 136 genes, 2.2%"	"167 of 6341 genes, 2.6%"	"MRPL9,MRPL31,ALA1"
278	 mitotic cell cycle	"3 out of 136 genes, 2.2%"	"319 of 6341 genes, 5.0%"	"BMH1,ACT1,SMI1"
51603	 proteolysis involved in cellular protein catabolic process	"3 out of 136 genes, 2.2%"	"215 of 6341 genes, 3.4%"	"PMT2,KAR2,PRE8"
43543	 protein acylation	"3 out of 136 genes, 2.2%"	"66 of 6341 genes, 1.0%"	"AKR1,ACT1,TAF9"
6397	 mRNA processing	"2 out of 136 genes, 1.5%"	"170 of 6341 genes, 2.7%"	"SPT5,HRP1"
51726	 regulation of cell cycle	"2 out of 136 genes, 1.5%"	"210 of 6341 genes, 3.3%"	"BMH1,SMI1"
6413	 translational initiation	"2 out of 136 genes, 1.5%"	"61 of 6341 genes, 1%"	"FUN12,STM1"
6352	" DNA-templated transcription, initiation"	"2 out of 136 genes, 1.5%"	"71 of 6341 genes, 1.1%"	"GCN4,TAF9"
31399	 regulation of protein modification process	"2 out of 136 genes, 1.5%"	"111 of 6341 genes, 1.8%"	"BMH1,FPR4"
48308	 organelle inheritance	"2 out of 136 genes, 1.5%"	"60 of 6341 genes, 0.9%"	"ACT1,OLE1"
43144	 snoRNA processing	"2 out of 136 genes, 1.5%"	"45 of 6341 genes, 0.7%"	"MTR4,CBF5"
42594	 response to starvation	"2 out of 136 genes, 1.5%"	"56 of 6341 genes, 0.9%"	"GCN4,RBG2"
7033	 vacuole organization	"2 out of 136 genes, 1.5%"	"92 of 6341 genes, 1.5%"	"VMA3,ACT1"
51052	 regulation of DNA metabolic process	"2 out of 136 genes, 1.5%"	"103 of 6341 genes, 1.6%"	"SSC1,SPT5"
7059	 chromosome segregation	"2 out of 136 genes, 1.5%"	"197 of 6341 genes, 3.1%"	"BMH1,SCP160"
7124	 pseudohyphal growth	"2 out of 136 genes, 1.5%"	"74 of 6341 genes, 1.2%"	"KAP123,BMH1"
48285	 organelle fission	"2 out of 136 genes, 1.5%"	"294 of 6341 genes, 4.6%"	"BMH1,SCP160"
70647	 protein modification by small protein conjugation or removal	"2 out of 136 genes, 1.5%"	"170 of 6341 genes, 2.7%"	"BMH1,NCS6"
32200	 telomere organization	"2 out of 136 genes, 1.5%"	"78 of 6341 genes, 1.2%"	"STM1,HSC82"
48284	 organelle fusion	"2 out of 136 genes, 1.5%"	"88 of 6341 genes, 1.4%"	"KAR2,SFT1"
8380	 RNA splicing	"1 out of 136 genes, 0.7%"	"144 of 6341 genes, 2.3%"	SPT5
6497	 protein lipidation	"1 out of 136 genes, 0.7%"	"45 of 6341 genes, 0.7%"	AKR1
6869	 lipid transport	"1 out of 136 genes, 0.7%"	"67 of 6341 genes, 1.1%"	YJR120W
6997	 nucleus organization	"1 out of 136 genes, 0.7%"	"66 of 6341 genes, 1.0%"	KAR2
6979	 response to oxidative stress	"1 out of 136 genes, 0.7%"	"103 of 6341 genes, 1.6%"	ACT1
7114	 cell budding	"1 out of 136 genes, 0.7%"	"58 of 6341 genes, 0.9%"	ACT1
6887	 exocytosis	"1 out of 136 genes, 0.7%"	"49 of 6341 genes, 0.8%"	ACT1
6970	 response to osmotic stress	"1 out of 136 genes, 0.7%"	"92 of 6341 genes, 1.5%"	SGD1
910	 cytokinesis	"1 out of 136 genes, 0.7%"	"81 of 6341 genes, 1.3%"	ACT1
6360	 transcription from RNA polymerase I promoter	"1 out of 136 genes, 0.7%"	"66 of 6341 genes, 1.0%"	SPT5
45333	 cellular respiration	"1 out of 136 genes, 0.7%"	"83 of 6341 genes, 1.3%"	YJR120W
8213	 protein alkylation	"1 out of 136 genes, 0.7%"	"50 of 6341 genes, 0.8%"	FPR4
9311	 oligosaccharide metabolic process	"1 out of 136 genes, 0.7%"	"31 of 6341 genes, 0.5%"	PGM1
16050	 vesicle organization	"1 out of 136 genes, 0.7%"	"72 of 6341 genes, 1.1%"	SFT1
