"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"unstained",0.319031903190319,0,0,"0.319031903190319"
"P2G8",0.390539053905391,0.00386345938865153,0.00669170795412344,"0.393839383938394:0.394939493949395:0.382838283828383"
"P2E6",0.391639163916392,0.0154015401540154,0.0266762500615669,"0.407040704070407:0.407040704070407:0.360836083608361"
"media",0.418041804180418,0,0,"0.418041804180418"
"P1E1",0.418408507517418,0.00223056931804115,0.00386345938865154,"0.422442244224422:0.414741474147415:0.418041804180418"
"P1E1mut1",0.455812247891456,0.00576319532288292,0.00998214711317654,"0.466446644664466:0.454345434543454:0.446644664466447"
"P1E1mut2",0.474147414741474,0.00396650305331572,0.00687018481671991,"0.476347634763476:0.47964796479648:0.466446644664466"
"P1F9",0.59002566923359,0.0201486716066244,0.0348985229276938,"0.627062706270627:0.557755775577558:0.585258525852585"
"P1E9",0.602126879354602,0.0529362654462437,0.0916883013158469,"0.678767876787679:0.627062706270627:0.500550055005501"
"P1G9",0.66006600660066,0.0459726658939891,0.0796269930877781,"0.56985698569857:0.68976897689769:0.720572057205721"
"P2D6mut",0.732673267326733,0.00939934405425469,0.0162801414597896,"0.74037403740374:0.713971397139714:0.743674367436744"
"P1B10",0.749174917491749,0,0,"0.749174917491749"
"P1B6",0.76017601760176,0.105099377093084,0.182037460969062,"0.86028602860286:0.87018701870187:0.55005500550055"
"P2F7",0.760909424275761,0.14665520485998,0.254014266011908,"0.928492849284928:0.885588558855886:0.468646864686469"
"P2C3",0.767510084341767,0.00794147701786128,0.0137550416820763,"0.761276127612761:0.783278327832783:0.757975797579758"
"P1C10",0.777777777777778,0.0176817945746112,0.0306257665722224,"0.783278327832783:0.805280528052805:0.744774477447745"
"P1F11",0.788412174550788,0.0420175461955363,0.0727765248200413,"0.872387238723872:0.743674367436744:0.749174917491749"
"P2B3",0.799413274660799,0.0267542693566023,0.0463397538450183,"0.84048404840484:0.749174917491749:0.808580858085809"
"P2G2",0.808580858085809,0.0545341003154274,0.0944558324913781,"0.916391639163916:0.768976897689769:0.74037403740374"
"SFT2mut",0.814081408140814,0.0146497868393386,0.0253741751257883,"0.811881188118812:0.84048404840484:0.78987898789879"
"P2C2",0.818115144847818,0.0247327740798199,0.0428384213183707,"0.800880088008801:0.786578657865787:0.866886688668867"
"P2A10",0.825449211587825,0.199348042316555,0.345280937681664,"1.13531353135314:0.887788778877888:0.453245324532453"
"P2B6",0.832783278327833,0.0304142783861297,0.0526790754403207,"0.888888888888889:0.825082508250825:0.784378437843784"
"P1B9",0.84011734506784,0.00540187747072104,0.0093563262355505,"0.84048404840484:0.830583058305831:0.849284928492849"
"P2B2",0.848184818481848,0.0312967925095004,0.0542076347403957,"0.797579757975798:0.841584158415842:0.905390539053905"
"PRC1wt",0.850751741840851,0.0707851432268058,0.122603464489868,"0.96039603960396:0.873487348734873:0.718371837183718"
"P1D9",0.851118445177851,0.0623136769723581,0.107930454522559,"0.955995599559956:0.856985698569857:0.74037403740374"
"P2F10",0.87055372203887,0.0599074746838266,0.103762789905534,"0.854785478547855:0.981298129812981:0.775577557755776"
"P2A2",0.874954162082875,0.0744299380996433,0.128916434392789,"1.01760176017602:0.84048404840484:0.766776677667767"
"P2E10",0.905757242390906,0.0851604847736794,0.147502286425208,"1.07590759075908:0.827282728272827:0.814081408140814"
"P2C6",0.939493949394939,0.088008800880088,0.152435714637525,"1.11551155115512:0.851485148514851:0.851485148514851"
"GFP",1,0.0308292622764704,0.0533978486227133,"1.02860286028603:1.03300330033003:0.938393839383938"
"P1C9",1.17821782178218,0.166438076722226,0.288279205196942,"1.43784378437844:1.22882288228823:0.867986798679868"
"PRC1mut",3.20865419875321,1.3150713312738,2.27777036134347,"5.37073707370737:3.42464246424642:0.830583058305831"
