"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"media",0.155759478386863,0,0,"0.155759478386863"
"unstained",0.169524269500121,0,0,"0.169524269500121"
"P2E6",0.297271190533688,0.0221419208107609,0.0383509318214045,"0.267326732673267:0.283989374547211:0.340497464380584"
"P2G8",0.30837961844965,0.0174339972448974,0.0301965690071781,"0.302100941801497:0.281815986476696:0.341221927070756"
"P1E1",0.322144409562908,0.0180502867335174,0.0312640137136386,"0.357160106254528:0.297029702970297:0.312243419463898"
"P1E1mut2",0.334218787732432,0.0116841056782448,0.0202374646757241,"0.352088867423328:0.312243419463898:0.33832407631007"
"P1E1mut1",0.341704902197537,0.0230060475514408,0.0398476432404411,"0.381791837720357:0.302100941801497:0.341221927070756"
"P1F9",0.493117604443371,0.0280749415683818,0.0486272252159647,"0.489736778555904:0.446269017145617:0.543347017628592"
"P1E9",0.54238106737503,0.0295356171953447,0.051157189615242,"0.601304032842309:0.516541898092248:0.509297271190534"
"P1G9",0.561217097319488,0.0714031806053839,0.123673936630542,"0.423810673750302:0.596232794011109:0.663607824197054"
"P2D6mut",0.584641390968365,0.0335554768272045,0.0581197907369184,"0.603477420912823:0.519439748852934:0.631007003139338"
"P2C2",0.648877082830234,0.0391574895053027,0.0678227613200294,"0.628833615068824:0.724462690171456:0.593334943250423"
"P1B10",0.649843033083796,0,0,"0.649843033083796"
"P1F11",0.654914271914996,0.0289905794705799,0.0502131565839077,"0.712871287128713:0.627384689688481:0.624486838927795"
"P2B2",0.660468485872978,0.0549770185855751,0.0952229894388746,"0.612895435885052:0.770103839652258:0.598406182081623"
"P1B9",0.662641873943492,0.011303578593063,0.019578372430533,"0.640425018111567:0.677372615310312:0.670127988408597"
"P2G2",0.663849311760444,0.00846240785700809,0.0146573203627081,"0.673025839169283:0.67157691378894:0.64694518232311"
"P2B6",0.679304515817435,0.0133081340096159,0.0230503642585901,"0.691137406423569:0.694035257184255:0.652740883844482"
"P2F7",0.686790630282541,0.0260134904795851,0.0450566871928507,"0.725911615551799:0.696933107944941:0.637527167350881"
"P2C3",0.694035257184255,0.02847915573592,0.04932734469128,"0.646220719632939:0.744747645496257:0.691137406423569"
"PRC1wt",0.716735088142961,0.0269006740206569,0.0465933341616259,"0.71142236174837:0.673025839169283:0.765757063511229"
"P1C10",0.719391451340256,0.0204951677302282,0.0354986718184013,"0.744747645496257:0.734605167833857:0.678821540690654"
"P1D9",0.723979715044675,0.0347171444095184,0.0601318580109916,"0.783868630765516:0.663607824197054:0.724462690171456"
"P1B6",0.730258391692828,0.0522434219196276,0.0904882611260526,"0.673025839169283:0.683168316831683:0.834581019077518"
"P2F10",0.744747645496257,0.0621984024106678,0.107730793124891,"0.673025839169283:0.868630765515576:0.692586331803912"
"P2B3",0.745472108186428,0.0387796245663286,0.0671682800473273,"0.793286645737745:0.668679063028254:0.774450615793287"
"P2A2",0.752716735088143,0.0729120501216619,0.126287375294727,"0.892538034291234:0.64694518232311:0.718666988650085"
"P2E10",0.755614585848829,0.0448289645140932,0.0776460441891116,"0.843999034049747:0.724462690171456:0.698382033325284"
"P2A10",0.771794252595991,0.0647673066528259,0.112180265792088,"0.901231586573291:0.71142236174837:0.702728809466313"
"P2C6",0.783868630765516,0.0594118302426729,0.102904308550967,"0.902680511953634:0.725911615551799:0.723013764791113"
"SFT2mut",0.8756339048539,0.0389918296358538,0.0675358300093687,"0.952668437575465:0.826611929485632:0.847621347500604"
"P1C9",0.917169765757064,0.0976610459877614,0.169153893571123,"1.09973436368027:0.886017870079691:0.765757063511229"
"GFP",1,0.0783317315548356,0.135674538897821,"0.847621347500604:1.10770345327216:1.04467519922724"
"PRC1mut",4.15213716493601,0.504578830056837,0.873956170082104,"4.9415600096595:3.21299203091041:4.30185945423811"
