"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"unstained",0.146161719549642,0,0,"0.146161719549642"
"media",0.168270214943705,0,0,"0.168270214943705"
"P2E6",0.175639713408393,0.0028365212815867,0.00491299897645855,"0.175639713408393:0.170726714431934:0.180552712384852"
"P2G8",0.175844421699079,0.00655066530194473,0.0113460851263468,"0.182395087001024:0.182395087001024:0.162743091095189"
"P1E1",0.182395087001024,0.00338233605769874,0.00585837790020643,"0.187922210849539:0.183009211873081:0.17625383828045"
"P1E1mut1",0.183418628454452,0.00512997506085636,0.00888537744696447,"0.189150460593654:0.187922210849539:0.173183213920164"
"P1E1mut2",0.183623336745138,0.00221425871574042,0.00383520859676462,"0.187922210849539:0.180552712384852:0.182395087001024"
"P1F9",0.409621289662231,0.0209883408278015,0.0363528726803245,"0.451381780962129:0.385056294779939:0.392425793244626"
"P1E9",0.43050153531218,0.0277468476967982,0.04805894996073,"0.485772773797339:0.407164790174002:0.3985670419652"
"P1G9",0.50460593654043,0.0619306018726954,0.107266948986829,"0.380757420675537:0.568065506653019:0.564994882292733"
"P2D6mut",0.530399181166837,0.0148677984097584,0.0257517822423933,"0.517093142272262:0.514022517911976:0.560081883316274"
"P1B10",0.564994882292733,0,0,"0.564994882292733"
"P2C2",0.585670419651996,0.0124569662547565,0.0215760984614093,"0.580962128966223:0.60921187308086:0.566837256908905"
"P1B9",0.595087001023542,0.00803072476803808,0.0139096233198437,"0.607983623336745:0.596929375639713:0.580348004094166"
"P2B6",0.623336745138178,0.0128868706125176,0.0223207146514468,"0.647901740020471:0.617809621289662:0.604298874104401"
"P2C3",0.624564994882293,0.0142841801632913,0.0247409257872881,"0.614124872057318:0.652814738996929:0.606755373592631"
"P1C10",0.625383828045036,0.0143164144809874,0.024796757263285,"0.631320368474923:0.646673490276356:0.598157625383828"
"P1F11",0.629887410440123,0.0223582316367447,0.0387255931622356,"0.671238485158649:0.623950870010235:0.594472876151484"
"P2B3",0.633572159672467,0.029088032470527,0.0503819501311661,"0.660798362333675:0.575435005117707:0.664483111566018"
"SFT2mut",0.646673490276356,0.01973179805298,0.03417647675245,"0.623950870010235:0.685977482088025:0.630092118730809"
"P2B2",0.657523029682702,0.0299630288041466,0.0518974882374316,"0.623950870010235:0.717297850562948:0.631320368474923"
"P2G2",0.664278403275333,0.0230230856012109,0.0398771540083047,"0.70992835209826:0.646673490276356:0.636233367451382"
"P1B6",0.672876151484135,0.0329961571544556,0.0571510206460443,"0.60921187308086:0.689662231320369:0.719754350051177"
"P2F7",0.673285568065507,0.0371741463244667,0.0643875101619762,"0.70317297850563:0.717297850562948:0.599385875127943"
"P2F10",0.688229273285568,0.0501146633591279,0.0868011431422199,"0.598157625383828:0.771340839303992:0.695189355168884"
"P1D9",0.706448311156602,0.0376930171102851,0.0652862207255767,"0.774411463664278:0.7007164790174:0.644216990788127"
"PRC1wt",0.708904810644831,0.0210879349186095,0.0365253747057375,"0.742476970317298:0.714227226202661:0.670010235414534"
"P2A2",0.720163766632549,0.0431657903069714,0.0747653419605386,"0.804503582395087:0.662026612077789:0.69396110542477"
"P2E10",0.723643807574207,0.0536816024087646,0.0929792628036921,"0.827840327533265:0.69396110542477:0.649129989764585"
"P1C9",0.725486182190379,0.0610494215040395,0.105740699817684,"0.84503582395087:0.687205731832139:0.644216990788127"
"P2A10",0.752917093142272,0.0592633153191176,0.102647073157687,"0.857932446264074:0.748004094165814:0.652814738996929"
"P2C6",0.802251791197544,0.0694353503006898,0.120265554562138,"0.940839303991812:0.740634595701126:0.725281473899693"
"GFP",1,0.0248608927349606,0.0430603293384717,"0.971545547594678:1.04953940634596:0.978915046059365"
"PRC1mut",3.67369498464688,0.319510428733808,0.55340829611507,"4.29089048106448:3.22169907881269:3.50849539406346"
