"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"unstained",0.147034076567101,0,0,"0.147034076567101"
"P2E6",0.156184265881363,0.0198779974758098,0.0281117336231084,"0.176062263357173:0.136306268405553"
"P2G8",0.156184265881363,0.0268195204038704,0.0379285294914955,"0.183003786285233:0.129364745477493"
"P1E1",0.173538073201515,0.0214556163230963,0.0303428235931964,"0.194993689524611:0.152082456878418"
"P1E1mut1",0.184265881363063,0.0271350441733277,0.0383747474855131,"0.21140092553639:0.157130837189735"
"P1E1mut2",0.191207404291123,0.0258729490954985,0.0365898755094427,"0.217080353386622:0.165334455195625"
"P1F9",0.403554901135886,0.0621581825830879,0.087904944821466,"0.465713083718973:0.341396718552798"
"P1E9",0.457509465713084,0.0479596129575095,0.0678251350906744,"0.505469078670593:0.409549852755574"
"P1G9",0.491586032814472,0.0795119899032394,0.112446934492434,"0.412074042911233:0.571098022717711"
"P2D6mut",0.522822885990745,0.0672065628944047,0.0950444327257475,"0.590029448885149:0.45561632309634"
"P2C2",0.621581825830879,0.0787782250864087,0.136447888379757,"0.715607909129154:0.684055532183424:0.465082036180059"
"P2B6",0.627050904501472,0.0691204331624336,0.119720102078504,"0.713083718973496:0.677745056794278:0.490323937736643"
"P1B9",0.663862010938157,0.0214556163230963,0.0303428235931964,"0.685317627261254:0.642406394615061"
"P2B2",0.663862010938157,0.0617234175355953,0.106908095188439,"0.716870004206984:0.733908287757678:0.540807740849811"
"P1F11",0.669541438788389,0.067522086663862,0.0954906507197651,"0.737063525452251:0.602019352124527"
"SFT2mut",0.675431215818258,0.0694881757430559,0.120357050912248,"0.718132099284813:0.768615902397981:0.539545645771981"
"P2G2",0.689734960033656,0.0687841817416912,0.0972755226958355,"0.758519141775347:0.620950778291965"
"P1D9",0.691207404291123,0.0821439806048239,0.142277547943507,"0.827934371055953:0.701724863273033:0.543962978544384"
"P1B6",0.702355910811948,0.0298154658563361,0.0516419017145093,"0.722549432057215:0.740849810685738:0.64366848969289"
"PRC1wt",0.718552797644089,0.0966157848509157,0.167343448174929,"0.842448464450989:0.78502313840976:0.528186790071519"
"P2F10",0.739377366428271,0.0975720944071565,0.168999824914102,"0.711190576356752:0.920698359276399:0.586243163651662"
"P2F7",0.746213714766512,0.0192469499368952,0.0272192976350732,"0.765460664703408:0.726966764829617"
"media",0.759781236853176,0,0,"0.759781236853176"
"P2E10",0.769562473706352,0.127156079091292,0.17982585158909,"0.896718552797644:0.642406394615061"
"P2A2",0.820992848127892,0.169751787968027,0.240065280781466,"0.990744636095919:0.651241060159865"
"P2A10",0.824463609591923,0.127787126630206,0.180718287577126,"0.952250736222129:0.696676482961716"
"P1C9",0.866112747160286,0.11327303323517,0.160192259852316,"0.979385780395456:0.752839713925116"
"P2C6",0.880942364324779,0.132519983172066,0.18741155748739,"1.01346234749684:0.748422381152713"
"GFP",1,0.0781941776927476,0.135436288619908,"1.11758519141775:1.03050063104754:0.851914177534708"
"PRC1mut",5.60054690786706,0.875180809996631,1.51585762872345,"7.22864955826672:5.3430795119899:4.22991165334455"
