"construct","ratio.avg plate1","ratio.se plate1","ratio.sd plate1","ratio.val plate1","ratio.avg Plate1_SD-G","ratio.se Plate1_SD-G","ratio.sd Plate1_SD-G","ratio.val Plate1_SD-G","ratio.avg Plate2_SD-N","ratio.se Plate2_SD-N","ratio.sd Plate2_SD-N","ratio.val Plate2_SD-N","ratio.avg plate3_LZM","ratio.se plate3_LZM","ratio.sd plate3_LZM","ratio.val plate3_LZM","ratio.avg plate4_Znshock","ratio.se plate4_Znshock","ratio.sd plate4_Znshock","ratio.val plate4_Znshock"
"GFP",1,0.028074007350937,0.048625607103885,"1.04649516167099:1.00401227283455:0.949492565494454",1,0.0308292622764704,0.0533978486227133,"1.02860286028603:1.03300330033003:0.938393839383938",1,0.0783317315548356,0.135674538897821,"0.847621347500604:1.10770345327216:1.04467519922724",1,0.0248608927349606,0.0430603293384717,"0.971545547594678:1.04953940634596:0.978915046059365",1,0.0781941776927476,0.135436288619908,"1.11758519141775:1.03050063104754:0.851914177534708"
"P1B6",0.649516167099363,0.011600855064852,0.0200932703835664,"0.631578947368421:0.645739910313901:0.671229643615766",0.76017601760176,0.105099377093084,0.182037460969062,"0.86028602860286:0.87018701870187:0.55005500550055",0.730258391692828,0.0522434219196276,0.0904882611260526,"0.673025839169283:0.683168316831683:0.834581019077518",0.672876151484135,0.0329961571544556,0.0571510206460443,"0.60921187308086:0.689662231320369:0.719754350051177",0.702355910811948,0.0298154658563361,0.0516419017145093,"0.722549432057215:0.740849810685738:0.64366848969289"
"P1B9",0.711588388010385,0.022255700229646,0.0385480035557693,"0.667689402879396:0.727165447250413:0.739910313901345",0.84011734506784,0.00540187747072104,0.0093563262355505,"0.84048404840484:0.830583058305831:0.849284928492849",0.662641873943492,0.011303578593063,0.019578372430533,"0.640425018111567:0.677372615310312:0.670127988408597",0.595087001023542,0.00803072476803808,0.0139096233198437,"0.607983623336745:0.596929375639713:0.580348004094166",0.663862010938157,0.0214556163230963,0.0303428235931964,"0.685317627261254:0.642406394615061"
"P1C9",0.862638659428841,0.0714185500502383,0.123700557289914,"0.998347887656361:0.833372669341515:0.756195421288648",1.17821782178218,0.166438076722226,0.288279205196942,"1.43784378437844:1.22882288228823:0.867986798679868",0.917169765757064,0.0976610459877614,0.169153893571123,"1.09973436368027:0.886017870079691:0.765757063511229",0.725486182190379,0.0610494215040395,0.105740699817684,"0.84503582395087:0.687205731832139:0.644216990788127",0.866112747160286,0.11327303323517,0.160192259852316,"0.979385780395456:0.752839713925116"
"P1D9",0.669813547321218,0.0148690110927543,0.0257538826709557,"0.684682558413972:0.640075525135709:0.684682558413972",0.851118445177851,0.0623136769723581,0.107930454522559,"0.955995599559956:0.856985698569857:0.74037403740374",0.723979715044675,0.0347171444095184,0.0601318580109916,"0.783868630765516:0.663607824197054:0.724462690171456",0.706448311156602,0.0376930171102851,0.0652862207255767,"0.774411463664278:0.7007164790174:0.644216990788127",0.691207404291123,0.0821439806048239,0.142277547943507,"0.827934371055953:0.701724863273033:0.543962978544384"
"P1E1",0.268822279915034,0.00625776425941132,0.010838765639089,"0.264810007080481:0.281095114467784:0.260561718196837",0.418408507517418,0.00223056931804115,0.00386345938865154,"0.422442244224422:0.414741474147415:0.418041804180418",0.322144409562908,0.0180502867335174,0.0312640137136386,"0.357160106254528:0.297029702970297:0.312243419463898",0.182395087001024,0.00338233605769874,0.00585837790020643,"0.187922210849539:0.183009211873081:0.17625383828045",0.173538073201515,0.0214556163230963,0.0303428235931964,"0.194993689524611:0.152082456878418"
"P1E1mut1",0.252537172527732,0.00736203632781791,0.0127514209669484,"0.265518055227756:0.252065140429549:0.240028321925891",0.455812247891456,0.00576319532288292,0.00998214711317654,"0.466446644664466:0.454345434543454:0.446644664466447",0.341704902197537,0.0230060475514408,0.0398476432404411,"0.381791837720357:0.302100941801497:0.341221927070756",0.183418628454452,0.00512997506085636,0.00888537744696447,"0.189150460593654:0.187922210849539:0.173183213920164",0.184265881363063,0.0271350441733277,0.0383747474855131,"0.21140092553639:0.157130837189735"
"P1E1mut2",0.259617654000472,0.00646787330943815,0.0112026851888655,"0.271890488553222:0.257021477460467:0.249940995987727",0.474147414741474,0.00396650305331572,0.00687018481671991,"0.476347634763476:0.47964796479648:0.466446644664466",0.334218787732432,0.0116841056782448,0.0202374646757241,"0.352088867423328:0.312243419463898:0.33832407631007",0.183623336745138,0.00221425871574042,0.00383520859676462,"0.187922210849539:0.180552712384852:0.182395087001024",0.191207404291123,0.0258729490954985,0.0365898755094427,"0.217080353386622:0.165334455195625"
"P1E9",0.486901109275431,0.0298651243051842,0.0517279126709392,"0.537408543780977:0.489261269766344:0.434033514278971",0.602126879354602,0.0529362654462437,0.0916883013158469,"0.678767876787679:0.627062706270627:0.500550055005501",0.54238106737503,0.0295356171953447,0.051157189615242,"0.601304032842309:0.516541898092248:0.509297271190534",0.43050153531218,0.0277468476967982,0.04805894996073,"0.485772773797339:0.407164790174002:0.3985670419652",0.457509465713084,0.0479596129575095,0.0678251350906744,"0.505469078670593:0.409549852755574"
"P1F11",0.684918574463063,0.0172194695622975,0.0298249961612851,"0.717252773188577:0.67901817323578:0.658484776964834",0.788412174550788,0.0420175461955363,0.0727765248200413,"0.872387238723872:0.743674367436744:0.749174917491749",0.654914271914996,0.0289905794705799,0.0502131565839077,"0.712871287128713:0.627384689688481:0.624486838927795",0.629887410440123,0.0223582316367447,0.0387255931622356,"0.671238485158649:0.623950870010235:0.594472876151484",0.669541438788389,0.067522086663862,0.0954906507197651,"0.737063525452251:0.602019352124527"
