RBP	fold	type	rep1	rep2	rep3	mean	sd
PAR32	P2D6	experiment	0.89	0.82	0.98	0.89	0.06
NOP6	P2D6	experiment	1.19	0.76	0.82	0.92	0.19
SSZ1	P2A10	experiment	0.76	0.71	0.67	0.71	0.04
ZUO1	P2A10	experiment	0.72	0.63	0.65	0.67	0.04
HHO1	P2D6	experiment	0.94	0.88	0.78	0.87	0.07
BMT5	P2D6	experiment	1.63	1.45	1.36	1.48	0.11
FYV7	P2D6	experiment	0.85	0.79	0.82	0.82	0.03
LOC1	P2D6	experiment	1.03	0.98	0.97	1	0.02
TMA22	P2A10	experiment	0.87	0.76	0.82	0.82	0.04
YDR514C	P2E10	experiment	0.76	0.73	0.69	0.73	0.03
YDR514C	P2F10	experiment	0.95	0.72	0.76	0.81	0.1
YDR514C	P2G8	experiment	2.13	1.08	1.22	1.48	0.47
SSF2	P2D6	experiment	0.83	0.35	0.91	0.7	0.25
RLF2	P2D6	experiment	0.96	0.74	0.79	0.83	0.09
BFR1	P2A10	experiment	0.95	0.92	0.97	0.95	0.02
BFR1	P2B2	experiment	1.12	0.84	1.1	1.02	0.13
SSF1	P2D6	experiment	0.79	0.73	0.76	0.76	0.02
BDF1	P1B9	experiment	1.01	0.96	1.09	1.02	0.05
BDF1	P2A10	experiment	0.93	0.95	0.95	0.94	0.01
BDF1	P2D6	experiment	1.13	1.3	0.31	0.91	0.43
FPR3	P1B9	experiment	0.85	0.72	0.76	0.78	0.06
FPR3	P2D6	experiment	0.9	0.76	0.34	0.67	0.24
FPR4	P1B9	experiment	0.71	0.73	0.74	0.73	0.01
FPR4	P2D6	experiment	1.18	0.96	1.05	1.07	0.09
KEL3	P1B9	experiment	0.87	0.85	0.79	0.84	0.04
KEL3	P2A10	experiment	0.86	0.69	0.17	0.57	0.29
HMO1	P1B9	experiment	0.93	0.73	0.82	0.83	0.08
HMO1	P2A10	experiment	0.86	0.69	0.8	0.78	0.07
HMO1	P2D6	experiment	1.01	0.85	1.03	0.97	0.08
NSR1	P2B3	experiment	1.06	1.05	1.06	1.06	0
NSR1	P2B6	experiment	1.36	1.08	1.12	1.19	0.12
NSR1	P2D6	experiment	1.27	1.31	1.3	1.29	0.02
PAR32	P1E9	control	0.88	0.87	0.82	0.86	0.03
NOP6	P1E9	control	0.78	0.69	0.69	0.72	0.04
SSZ1	P1E9	control	0.84	0.7	0.51	0.68	0.13
ZUO1	P1E9	control	0.56	0.58	0.6	0.58	0.02
HHO1	P1E9	control	0.88	0.73	0.72	0.78	0.07
BMT5	P1E9	control	0.91	0.69	0.7	0.77	0.1
FYV7	P1E9	control	0.78	0.58	0.61	0.66	0.09
LOC1	P1E9	control	1.12	1.22	0.57	0.97	0.29
TMA22	P1E9	control	0.91	0.67	0.72	0.77	0.1
YDR514C	P1E9	control	0.86	0.69	0.73	0.76	0.07
YDR514C	P1E1	control	0.6	0.38	0.7	0.56	0.14
SSF2	P1E9	control	0.89	0.72	0.74	0.78	0.08
RLF2	P1E9	control	0.97	0.75	0.67	0.8	0.13
BFR1	P1E9	control	1.06	0.85	0.63	0.85	0.18
SSF1	P1E9	control	0.96	0.77	0.29	0.68	0.28
BDF1	P1E9	control	1.29	1.19	1.22	1.23	0.04
FPR3	P1E9	control	0.91	0.96	1.15	1.01	0.11
FPR4	P1E9	control	1.38	1.08	1.25	1.23	0.12
KEL3	P1E9	control	0.93	0.71	0.75	0.8	0.1
HMO1	P1E9	control	0.79	0.71	0.69	0.73	0.04
NSR1	P1E9	control	0.78	0.67	1.05	0.83	0.16
PAR32	P2F7	control	0.79	0.83	0.9	0.84	0.04
NOP6	P2F7	control	0.69	0.66	0.8	0.71	0.06
SSZ1	P2F7	control	0.97	0.38	0.72	0.69	0.24
ZUO1	P2F7	control	0.52	0.53	0.46	0.5	0.03
HHO1	P2F7	control	0.79	0.76	0.71	0.75	0.03
BMT5	P2F7	control	0.83	0.68	0.79	0.77	0.06
FYV7	P2F7	control	0.68	0.5	0.6	0.59	0.07
LOC1	P2F7	control	0.98	0.98	0.97	0.98	0.01
TMA22	P2F7	control	0.76	0.67	0.74	0.72	0.04
YDR514C	P2F7	control	0.81	0.84	0.92	0.85	0.05
SSF2	P2F7	control	0.8	0.66	0.72	0.73	0.05
RLF2	P2F7	control	0.82	0.72	0.81	0.78	0.04
BFR1	P2F7	control	0.93	0.78	0.82	0.84	0.06
SSF1	P2F7	control	0.76	0.74	0.71	0.74	0.02
BDF1	P2F7	control	1.07	1.11	1.1	1.09	0.01
FPR3	P2F7	control	0.82	0.67	0.83	0.77	0.08
FPR4	P2F7	control	1.35	1.22	1.28	1.29	0.05
KEL3	P2F7	control	0.82	0.75	0.71	0.76	0.04
HMO1	P2F7	control	0.8	0.85	1	0.88	0.08
NSR1	P2F7	control	0.57	0.53	0.6	0.57	0.03
