Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YHR055C	CUP1-2	S000001097	P0CX80
YHR055C	CUP1-2	S000001097	P0CX81
YPR161C	SGV1	S000006365	P23293
YOL138C	RTC1	S000005498	Q08281
YDR395W	SXM1	S000002803	Q04175
YGR129W	SYF2	S000003361	P53277
YPR165W	RHO1	S000006369	P06780
YPR098C		S000006302	Q06089
YPL015C	HST2	S000005936	P53686
YCL050C	APA1	S000000555	P16550
YAL069W		S000002143	O13588
YMR193W	MRPL24	S000004806	P36525
YLR031W		S000004021	Q07978
YIL014C-A		S000003536	Q02598
YGR053C		S000003285	P53234
YCR101C		S000000698	P25607
YER087C-B	SBH1	S000002128	P52870
YOR280C	FSH3	S000005806	Q99369
YGR097W	ASK10	S000003329	P48361
YHR215W	PHO12	S000001258	P38693
YKL025C	PAN3	S000001508	P36102
YKR011C		S000001719	Q02209
YEL004W	YEA4	S000000730	P40004
YJL200C	ACO2	S000003736	P39533
YLL027W	ISA1	S000003950	Q07821
YOR024W		S000005550	Q12070
YLR045C	STU2	S000004035	P46675
YDR348C	PAL1	S000002756	Q05518
YPL183C	RTT10	S000006104	Q08924
YGR003W	CUL3	S000003235	P53202
YEL008C-A		S000028618	Q8TGP3
YBL095W		S000000191	P38172
YGL060W	YBP2	S000003028	P53169
YLL007C		S000003930	Q07799
YEL009C	GCN4	S000000735	P03069
YEL015W	EDC3	S000000741	P39998
YOR083W	WHI5	S000005609	Q12416
YBR252W	DUT1	S000000456	P33317
YDR329C	PEX3	S000002737	P28795
YDL202W	MRPL11	S000002361	P36521
YHR209W	CRG1	S000001252	P38892
YPR008W	HAA1	S000006212	Q12753
YER075C	PTP3	S000000877	P40048
YDL203C	ACK1	S000002362	Q07622
YBR050C	REG2	S000000254	P38232
YMR197C	VTI1	S000004810	Q04338
YDR261W-A		S000007396	Q99303
YBL049W	MOH1	S000000145	P38191
YER054C	GIP2	S000000856	P40036
YDR305C	HNT2	S000002713	P49775
YHL019W-A		S000028772	
YNL201C	PSY2	S000005145	P40164
YHR180W-A		S000028555	P0C5N8
YCR061W		S000000657	P25639
YBR206W		S000000410	P38309
YPL171C	OYE3	S000006092	P41816
YHR051W	COX6	S000001093	P00427
YDL116W	NUP84	S000002274	P52891
