"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"unstained",0.212414444182204,0,0,"0.212414444182204"
"P2E6",0.226575407127685,0.00820643788091278,0.0142139673588988,"0.232947840453151:0.236488081189521:0.210290299740382"
"media",0.228699551569507,0,0,"0.228699551569507"
"P2G8",0.251121076233184,0.00472032098182676,0.00817583576855735,"0.260561718196837:0.246400755251357:0.246400755251357"
"P1E1mut1",0.252537172527732,0.00736203632781791,0.0127514209669484,"0.265518055227756:0.252065140429549:0.240028321925891"
"P1E1mut2",0.259617654000472,0.00646787330943815,0.0112026851888655,"0.271890488553222:0.257021477460467:0.249940995987727"
"P1E1",0.268822279915034,0.00625776425941132,0.010838765639089,"0.264810007080481:0.281095114467784:0.260561718196837"
"Null",0.307292895916922,0,0,"0.307292895916922"
"P1E9",0.486901109275431,0.0298651243051842,0.0517279126709392,"0.537408543780977:0.489261269766344:0.434033514278971"
"P1F9",0.493273542600897,0.0422547831992502,0.0731874313639092,"0.577767288175596:0.452442766108095:0.449610573518999"
"P1G9",0.503894264810007,0.0233989410634017,0.0405281547651214,"0.522539532688223:0.457399103139013:0.531744158602785"
"P2G2",0.590984186924711,0.0755483649667506,0.130853606551169,"0.649280151050271:0.68255841397215:0.441113995751711"
"P2D6mut",0.609393438753835,0.0149939864755899,0.0259703463837223,"0.600424828888364:0.58909605853198:0.638659428841161"
"P2B6",0.618598064668398,0.0409125498845593,0.070862615067253,"0.595468491857446:0.562190228935568:0.698135473212179"
"P2E10",0.62615057823932,0.0197168773622192,0.0341506333579683,"0.656360632523012:0.632995043662969:0.58909605853198"
"P2C2",0.63842341279207,0.0423535386895823,0.0733584808906906,"0.619542128864763:0.576351191881048:0.719376917630399"
"P1B6",0.649516167099363,0.011600855064852,0.0200932703835664,"0.631578947368421:0.645739910313901:0.671229643615766"
"P2A2",0.663913146093934,0.0232017101297041,0.0401865407671329,"0.628038706632051:0.656360632523012:0.707340099126741"
"P1D9",0.669813547321218,0.0148690110927543,0.0257538826709557,"0.684682558413972:0.640075525135709:0.684682558413972"
"P1F11",0.684918574463063,0.0172194695622975,0.0298249961612851,"0.717252773188577:0.67901817323578:0.658484776964834"
"P1B9",0.711588388010385,0.022255700229646,0.0385480035557693,"0.667689402879396:0.727165447250413:0.739910313901345"
"P2A10",0.744394618834081,0.0388896872765034,0.0673589142533687,"0.822043898985131:0.701675713948549:0.709464243568563"
"P2F7",0.756903469435922,0.0429192443532174,0.0743383118422362,"0.795138069388718:0.804342695303281:0.671229643615766"
"SFT2mut",0.762331838565022,0.0167072025328342,0.0289377236392122,"0.788765636063252:0.766816143497758:0.731413736134057"
"P2F10",0.784045315081426,0.0403904767684153,0.0699583579048257,"0.737786169459523:0.864526787821572:0.749822987963182"
"PRC1wt",0.79183384470144,0.0313581762391019,0.0543139544788236,"0.852489969317914:0.775312721265046:0.74769884352136"
"P2B2",0.806466839745103,0.00966513817769329,0.0167405103859385,"0.824168043426953:0.804342695303281:0.790889780505074"
"P2C6",0.821571866886948,0.0744184464544597,0.128896530279468,"0.674769884352136:0.916214302572575:0.873731413736134"
"P1C9",0.862638659428841,0.0714185500502383,0.123700557289914,"0.998347887656361:0.833372669341515:0.756195421288648"
"GFP",1,0.028074007350937,0.048625607103885,"1.04649516167099:1.00401227283455:0.949492565494454"
"PRC1mut",6.54142081661553,0.78842513307451,1.3655923884493,"8.08661789001652:5.49657776728818:6.04106679254189"
