Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSP00000377550;CON__P13646-1	CON__ENSEMBL:ENSP00000377550;CON__P13646-1	6;6	4;4	3;3	>ENSEMBL:ENSP00000377550 Tax_Id=9606 Gene_Symbol=KRT13 46 kDa protein;>P13646-1 SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13	2	6	4	3	6	4	3	17.4	12.4	10.5	45.771	420	420;458	8								6	0	10.247	17.4	30334000	30334000	5			+	0	6364;12300;18383;20617;25696;28446	True;True;False;True;True;False	6664;6665;12858;19356;21695;27007;29906	17802;17803;17804;34710;51107;56670;70736;78778	20235;20236;20237;39730;57983;64111;80045;89218;89219	20236;39730;57983;64111;80045;89218	0;1	108;313
CON__P00711	CON__P00711	2	2	2	>P00711 SWISS-PROT:P00711 Alpha-lactalbumin - Bos taurus (Bovine).	1	2	2	2	2	2	2	13	13	13	14.186	123	123	6		1				1		2	0.00090882	2.5748	13	124510000	124510000	4			+	1	2133;14291	True;True	2269;14915	6911;6912;40042;40043	8050;8051;45673;45674	8050;45674		
CON__P02533;CON__Q9Z2K1;CON__Q3ZAW8;CON__P08727;CON__P19001	CON__P02533	10;2;2;1;1	9;2;2;1;1	2;0;0;0;0	>P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14	5	10	9	2	10	9	2	24.2	20.8	4.7	51.621	472	472;469;474;400;403	5.48	8			1		4		14	0	57.642	24.2	1658500000	1658500000	30			+	2	1625;2343;4142;4529;11916;25323;25692;28152;28446;28771	True;True;True;True;True;True;True;True;True;False	1736;2486;4356;4755;12458;26611;27003;29600;29601;29906;30240;30241	5249;5250;5251;7367;7368;11804;11805;12873;33556;33557;69522;69523;69524;70721;70722;70723;70724;70725;70726;70727;77870;77871;77872;77873;77874;77875;78778;79780;79781;79782;79783;79784;79785;79786;79787;79788;79789;79790;79791;79792	6094;6095;6096;6097;8556;8557;13490;13491;13492;14679;38395;38396;78608;78609;78610;80029;80030;80031;80032;80033;80034;80035;88142;88143;88144;88145;88146;88147;88148;89218;89219;90422;90423;90424;90425;90426;90427;90428;90429;90430;90431;90432;90433;90434;90435;90436	6096;8557;13491;14679;38396;78610;80030;88148;89218;90423	2;3	119;453
CON__P02662	CON__P02662	2	2	2	>P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	1	2	2	2	2	2	2	13.6	13.6	13.6	22.975	199	199	5.75				1	1	1		1	0	27.373	13.6	74509000	74509000	4			+	3	4453;4775	True;True	4676;5008	12687;12688;13562;13563	14479;14480;15459;15460	14479;15460		
CON__P02663	CON__P02663	7	7	7	>P02663 SWISS-PROT:P02663 Alpha-S2-casein [Contains: Casocidin-1 - Bos taurus (Bovine).	1	7	7	7	7	7	7	27.5	27.5	27.5	24.348	207	207	7			1			3	4	7	0	12.117	27.5	405010000	405010000	15			+	4	1010;5572;12150;18820;19162;26915;27813	True;True;True;True;True;True;True	1080;5845;12704;19808;20173;28299;29249	3228;3229;3230;15680;15681;34343;34344;34345;52174;53112;74256;74257;74258;74259;76896	3827;3828;3829;17827;17828;39333;39334;39335;59140;60275;83969;83970;83971;83972;86990	3827;17827;39334;59140;60275;83971;86990		
CON__P02754	CON__P02754	4	4	4	>P02754 SWISS-PROT:P02754 Beta-lactoglobulin - Bos taurus (Bovine).	1	4	4	4	4	4	4	16	16	16	18.281	162	162	6.45				3		2	1	5	0	5.1998	16	201190000	201190000	10			+	5	10416;15142;28125;28126	True;True;True;True	10909;15804;15805;29570;29571	29736;29737;42372;42373;42374;77786;77787;77788;77789;77790;77791	34225;34226;48267;48268;48269;88050;88051;88052;88053;88054;88055	34226;48267;88050;88054	4	7
CON__P02768-1	CON__P02768-1	8	7	7	>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor	1	8	7	7	8	7	7	12.5	11.3	11.3	69.366	609	609	7.43				1				6	0	5.7626	12.5	103280000	103280000	7			+	6	55;3156;16890;16977;20643;23617;26305;29788	True;True;True;False;True;True;True;True	57;3325;17630;17719;21721;24827;27651;31323	179;9391;47222;47481;56722;64983;72399;83006	216;10778;53788;54066;64166;73575;81874;94143	216;10778;53788;54066;64166;73575;81874;94143		
CON__P02769	CON__P02769	23	23	22	>P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	1	23	23	22	23	23	22	37.1	37.1	35.9	69.293	607	607	7.22					1	6	14	16	0	73.69	37.1	653940000	653940000	37			+	7	313;2005;2529;3155;4173;4331;6424;6899;7955;10677;13525;15161;16888;16977;20361;20642;22850;23206;23616;25214;27103;29787;30073	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	338;2134;2679;3324;4387;4549;6725;7218;8316;11176;14119;15824;17628;17719;21432;21720;24019;24396;24826;26497;28497;31322;31614	1028;6488;6489;7802;9390;11879;12392;12393;17938;17939;19361;22224;30359;38002;42401;47219;47220;47481;56034;56720;56721;62722;62723;63634;63635;63636;64982;69246;69247;69248;69249;69250;74833;83003;83004;83005;83763	1357;7574;7575;9020;10777;13566;14167;14168;20378;20379;22040;25254;34902;43466;48296;53785;53786;54066;63444;64164;64165;70945;70946;71929;71930;71931;73574;78318;78319;78320;78321;78322;84598;94140;94141;94142;94958	1357;7574;9020;10777;13566;14168;20378;22040;25254;34902;43466;48296;53786;54066;63444;64165;70946;71929;73574;78320;84598;94141;94958	5	111
CON__P48668;CON__P04259;CON__P02538;CON__P50446;CON__O95678;CON__P05787;CON__Q8BGZ7;CON__H-INV:HIT000292931;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__H-INV:HIT000016045;CON__Q9NSB2;CON__Q6ISB0;CON__Q61726;CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386	CON__P48668;CON__P04259;CON__P02538;CON__P50446	18;18;17;11;6;4;4;3;3;3;3;2;2;2;1;1;1;1;1;1	15;15;14;8;4;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1	7;7;7;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	>P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C;>P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B;>P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytos	20	18	15	7	18	15	7	27.1	23.8	14	60.024	564	564;564;564;553;551;483;551;443;499;511;520;99;600;600;479;486;493;493;505;507	6.34	6		1	1		3	6	21	0	80.453	27.1	4957100000	4957100000	43			+	8	1468;3919;6493;6617;12768;13946;14411;18581;18596;19833;22192;22193;27917;28478;29286;29521;29537;30418	True;True;True;False;True;False;True;True;True;True;True;True;True;True;True;False;True;True	1574;4120;4121;6798;6799;6925;13342;14557;15039;19562;19577;20880;23334;23335;29355;29938;30792;31040;31056;31972	4718;4719;11161;11162;11163;11164;18150;18151;18566;18567;18568;18569;18570;18571;18572;36184;39182;39183;40297;51613;51614;51645;51646;51647;54768;54769;54770;54771;54772;54773;60884;60885;60886;60887;60888;77184;78887;78888;78889;78890;81462;81463;81464;82219;82220;82221;82222;82223;82278;84666;84667;84668	5494;5495;12701;12702;12703;12704;12705;20609;20610;21175;21176;21177;21178;21179;21180;21181;21182;21183;21184;41447;44745;44746;45950;58544;58545;58546;58580;58581;58582;62080;62081;62082;62083;62084;62085;68844;68845;68846;68847;68848;68849;87378;89352;89353;89354;89355;89356;89357;92407;92408;92409;92410;93275;93276;93277;93278;93279;93338;96005;96006;96007	5494;12701;20610;21182;41447;44746;45950;58544;58580;62085;68847;68849;87378;89354;92407;93279;93338;96007	6;7	279;452
CON__P04264	CON__P04264	18	16	13	>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	1	18	16	13	18	16	13	29.2	27	22.2	66.017	644	644	5.06	26	9	9	12	10	25	26	31	0	220.73	29.2	35507000000	35507000000	158			+	9	278;3924;4394;10613;12771;15629;18848;18849;20143;22234;22235;22767;23473;23677;24209;28479;29521;29534	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True	301;4126;4127;4614;4615;11111;13345;16326;19845;19846;19847;19848;21203;23377;23378;23933;24677;24888;25445;29939;31040;31053	929;930;931;932;933;934;935;11175;11176;11177;11178;11179;11180;11181;11182;11183;11184;11185;11186;11187;12527;12528;12529;12530;12531;12532;12533;30208;30209;30210;36195;43704;43705;43706;43707;43708;52281;52282;52283;52284;52285;52286;52287;52288;52289;52290;52291;52292;52293;52294;52295;52296;52297;52298;52299;52300;52301;52302;52303;52304;52305;52306;52307;52308;52309;52310;52311;52312;52313;52314;52315;52316;52317;52318;52319;52320;52321;52322;52323;55505;55506;55507;55508;61005;61006;61007;61008;61009;61010;61011;61012;61013;61014;61015;61016;61017;61018;61019;62470;62471;62472;62473;62474;62475;62476;62477;62478;62479;62480;62481;62482;62483;62484;62485;64613;64614;64615;64616;64617;64618;65101;65102;65103;65104;65105;65106;65107;66413;66414;66415;66416;66417;66418;66419;66420;78891;78892;78893;78894;78895;78896;78897;78898;78899;78900;78901;82219;82220;82221;82222;82223;82261;82262;82263;82264;82265;82266;82267;82268;82269;82270;82271;82272;82273	1247;1248;1249;1250;1251;1252;1253;1254;12716;12717;12718;12719;12720;12721;12722;12723;12724;12725;12726;12727;12728;14305;14306;14307;14308;14309;14310;14311;34740;34741;34742;41458;49716;49717;49718;49719;49720;49721;59319;59320;59321;59322;59323;59324;59325;59326;59327;59328;59329;59330;59331;59332;59333;59334;59335;59336;59337;59338;59339;59340;59341;59342;59343;59344;59345;59346;59347;59348;59349;59350;59351;59352;59353;59354;59355;59356;59357;59358;59359;59360;59361;59362;59363;59364;62881;62882;62883;62884;69000;69001;69002;69003;69004;69005;69006;69007;69008;69009;69010;69011;69012;69013;69014;69015;69016;69017;70657;70658;70659;70660;70661;70662;70663;70664;70665;70666;70667;70668;70669;70670;70671;70672;70673;70674;73177;73178;73179;73180;73181;73182;73696;73697;73698;73699;73700;73701;73702;73703;75145;75146;75147;75148;75149;75150;75151;75152;89358;89359;89360;89361;89362;89363;89364;89365;89366;89367;89368;89369;89370;89371;93275;93276;93277;93278;93279;93319;93320;93321;93322;93323;93324;93325;93326;93327;93328;93329;93330;93331;93332;93333	1253;12717;14307;34740;41458;49720;59358;59364;62881;69010;69013;70668;73177;73701;75152;89365;93279;93328	8;9;10;11	259;262;296;469
