"Protein.IDs"	"Protein.names"	"Gene.names"	"Log2..UVC..UVC"	"p.Value.adjusted"	"ORF"
"P26783"	"RPS5"	"40S ribosomal protein S5"	10.5130584710094	3.74746344404262e-05	"YJR123W"
"P04650"	"RPL39"	"60S ribosomal protein L39"	9.43939095748278	8.36158373292213e-06	"YJL189W"
"P14127"	"RPS17B;RPS17A"	"40S ribosomal protein S17-B;40S ribosomal protein S17-A"	9.17976436358807	3.9634345259379e-05	"YDR447C"
"P05755"	"RPS9B"	"40S ribosomal protein S9-B"	9.13967993881313	4.57950798862298e-05	"YBR189W"
"P0CX46"	"RPL2B;RPL2A"	"60S ribosomal protein L2-B;60S ribosomal protein L2-A"	8.67204881243572	7.73459440212103e-06	"YFR031C-A"
"P26321"	"RPL5"	"60S ribosomal protein L5"	8.34088366489175	6.2722277992529e-06	"YPL131W"
"P26785"	"RPL16B"	"60S ribosomal protein L16-B"	8.22401913252484	3.50246759337102e-05	"YNL069C"
"P0CX38"	"RPS6B;RPS6A"	"40S ribosomal protein S6-B;40S ribosomal protein S6-A"	8.17456087902464	8.36158373292213e-06	"YPL090C"
"P05739"	"RPL6B"	"60S ribosomal protein L6-B"	7.87099692386252	5.16234559574465e-05	"YLR448W"
"P29453"	"RPL8A;RPL8B"	"60S ribosomal protein L8-A;60S ribosomal protein L8-B"	7.79876177035136	8.22197044822979e-06	"YLL045C"
"P26784"	"RPL16A"	"60S ribosomal protein L16-A"	7.61653110562142	2.65148770048719e-05	"YIL133C"
"P0CX48"	"RPS11B;RPS11A"	"40S ribosomal protein S11-B;40S ribosomal protein S11-A"	7.54677438366829	3.21793695483485e-06	"YDR025W"
"P0CX32"	"RPS24B;RPS24A"	"40S ribosomal protein S24-B;40S ribosomal protein S24-A"	7.39670009376468	8.22197044822979e-06	"YER074W"
"P33442"	"RPS1A"	"40S ribosomal protein S1-A"	7.36517626963723	2.6872169892655e-05	"YLR441C"
"P0CX24"	"RPL20B;RPL20A"	"60S ribosomal protein L20-B;60S ribosomal protein L20-A"	7.28800666697462	1.53617661868744e-05	""
"P10664"	"RPL4A"	"60S ribosomal protein L4-A"	6.8262965600923	6.63417032694644e-06	"YBR031W"
"P23248"	"RPS1B;RPS1A"	"40S ribosomal protein S1-B;40S ribosomal protein S1-A"	6.81742501906447	5.90148468899089e-06	"YML063W"
"P39938"	"RPS26A"	"40S ribosomal protein S26-A"	6.81282963076192	0.00110038454374402	"YGL189C"
"P05749"	"RPL22A"	"60S ribosomal protein L22-A"	6.71591881450091	3.21793695483485e-06	"YLR061W"
"P05737"	"RPL7A"	"60S ribosomal protein L7-A"	6.67278963013395	1.24310204068928e-05	"YGL076C"
"P0C2H8"	"RPL31B;RPL31A"	"60S ribosomal protein L31-B;60S ribosomal protein L31-A"	6.49178731076757	0.000155667818674332	"YDL075W"
"P53221"	"RPL26A;RPL26B"	"60S ribosomal protein L26-A;60S ribosomal protein L26-B"	6.48472013879964	3.21793695483485e-06	"YGR034W"
"Q02326"	"RPL6A"	"60S ribosomal protein L6-A"	6.47853923244685	6.63417032694644e-06	"YML073C"
"P87262"	"RPL34A;RPL34B"	"60S ribosomal protein L34-A;60S ribosomal protein L34-B"	6.42191675899807	0.000109703238460039	"YER056C-A"
"P32588"	"PUB1"	"Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1"	6.33882387521433	6.63417032694644e-06	"YNL016W"
"P04147"	"PAB1"	"Polyadenylate-binding protein, cytoplasmic and nuclear"	6.33668292307063	8.36158373292213e-06	"YER165W"
"P02406"	"RPL28"	"60S ribosomal protein L28"	6.2822488338892	6.63417032694644e-06	"YGL103W"
"P0CX36"	"RPS4B;RPS4A"	"40S ribosomal protein S4-B;40S ribosomal protein S4-A"	6.26353938036104	6.38305604200141e-06	"YJR145C"
"P49626"	"RPL4A;RPL4B"	"60S ribosomal protein L4-A;60S ribosomal protein L4-B"	6.25800301660725	6.63417032694644e-06	"YDR012W"
"P0CX85"	"RPL35B;RPL35A"	"60S ribosomal protein L35-B;60S ribosomal protein L35-A"	6.2471453109382	3.82631051128462e-06	"YDL191W"
"O14455"	"RPL36B;RPL36A"	"60S ribosomal protein L36-B;60S ribosomal protein L36-A"	6.24590498211428	6.63417032694644e-06	"YPL249C-A"
"P26786"	"RPS7A"	"40S ribosomal protein S7-A"	6.12077747221141	2.20280357615487e-05	"YOR096W"
"Q01855"	"RPS15"	"40S ribosomal protein S15"	6.05291915293471	6.69943440060476e-05	"YOL040C"
"P36105"	"RPL14A;RPL14B"	"60S ribosomal protein L14-A;60S ribosomal protein L14-B"	5.87269790664774	3.50246759337102e-05	"YKL006W"
"P24000"	"RPL24A;RPL24B"	"60S ribosomal protein L24-A;60S ribosomal protein L24-B"	5.85142232326357	8.36158373292213e-06	"YGR148C"
"P48164"	"RPS7B"	"40S ribosomal protein S7-B"	5.79230274656977	1.06440902833352e-05	"YNL096C"
"P10080"	"SBP1"	"Single-stranded nucleic acid-binding protein"	5.75951630402017	7.73459440212103e-06	"YHL034C"
"P38061"	"RPL32"	"60S ribosomal protein L32"	5.7386355128463	7.09276604156371e-06	"YBL092W"
"P0CX40"	"RPS8B;RPS8A"	"40S ribosomal protein S8-B;40S ribosomal protein S8-A"	5.73384691183724	6.73731833071592e-06	"YBL072C"
"P38701"	"RPS20"	"40S ribosomal protein S20"	5.64080050916083	1.26673801790039e-05	"YHL015W"
"P39990"	"SNU13"	"13 kDa ribonucleoprotein-associated protein"	5.56202300236232	6.63417032694644e-06	"YEL026W"
"P56628"	"RPL22B"	"60S ribosomal protein L22-B"	5.53984232652614	0.000331169538871817	"YFL034C-A"
"P05756"	"RPS13"	"40S ribosomal protein S13"	5.4392128450868	6.63417032694644e-06	"YDR064W"
"P46990"	"RPL17A;RPL17B"	"60S ribosomal protein L17-A;60S ribosomal protein L17-B"	5.41363350381909	6.63417032694644e-06	"YJL177W"
"P06634"	"DED1"	"ATP-dependent RNA helicase DED1"	5.26628882951998	8.22197044822979e-06	"YOR204W"
"P49166"	"RPL37A"	"60S ribosomal protein L37-A"	5.16971482516239	2.3017731987984e-05	"YLR185W"
"P41805"	"RPL10"	"60S ribosomal protein L10"	5.10354225163548	6.78631487814844e-06	"YLR075W"
"P0CX83"	"RPL19B;RPL19A"	"60S ribosomal protein L19-B;60S ribosomal protein L19-A"	5.07274873224911	1.5062741460078e-05	"YBL027W"
