protein	whole.name	biological.process.function	protein.type.	RNA.type	localization	description	yORF	binds.to.constructs	compartment	go_rna_bind	pfam	hsapiens_hom	h_pfam	h_go_bind	h_go_rel	Parker	Gerber	Merve	KOhaploid	overexp	r1 filter	r1+1 filter	rpuf3 filter
AAT1	Aspartate AminoTransferase	asparagine catabolic process	enzyme			"Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis"	YKL106W	1	mitochondrion	FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
ACC1	Acetyl-CoA Carboxylase	long-chain fatty acid biosynthetic process	enzyme			"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication"	YNR016C	2	cytoplasm	FALSE		"ACACB;ACACA"		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ADH3	Alcohol DeHydrogenase	alcohol dehydrogenase (NAD) activity	enzyme			"Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production"	YMR083W	1	mitochondrion	FALSE				FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
AGP1	high-Affinity Glutamine Permease	transmembrane transport 	transporter			"Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication"	YCL025C	1		FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
AIM45	Altered Inheritance rate of Mitochondria	unknown			mitochondria	"Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit"	YPR004C	1	mitochondrion	FALSE		ETFA		FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
ALD4	ALdehyde Dehydrogenase	alcohol dehydrogenase (NAD) activity	enzyme			"Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant"	YOR374W	3	mitochondrion	FALSE		"RP11-162P23.2;ALDH1A2;ALDH16A1;ALDH1A3;ALDH2;ALDH1L1;ALDH7A1;ALDH1B1;ALDH1L2;ALDH1A1"		FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
ALG11	Asparagine-Linked Glycosylation	protein glycosylation	enzyme			"Alpha-1,2-mannosyltransferase; catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER"	YNL048W	1		FALSE		ALG11		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ALR1	ALuminum Resistance	cation transport 	transporter			"Plasma membrane Mg(2+) transporter; expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; magnesium transport defect of the null mutant is functionally complemented by either of the human genes MAGT1 and TUSC3 that are not orthologous to ALR1"	YOL130W	1		FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
APL3	clathrin Adaptor Protein complex Large chain	intracellular protein transport 	cell transport		transport protein	"Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport"	YBL037W	2		FALSE		"AP2A2;AP2A1"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
APL6	clathrin Adaptor Protein complex Large chain	Golgi to vacuole transport	cell transport			"Beta3-like subunit of the yeast AP-3 complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; exists in both cytosolic and peripherally associated membrane-bound pools "	YGR261C	1		FALSE		"AP3B1;AP3B2"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
APM3	clathrin Adaptor Protein complex Medium chain	Golgi to vacuole transport 	cell transport			"Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway"	YBR288C	15		FALSE				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
ARC1	Aminoacyl-tRNA synthetase Cofactor	tRNA aminoacylation for protein translation		tRNA		"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p"	YGL105W	3	cytoplasm	TRUE	tRNA_bind	AIMP1	tRNA_bind	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	ergosterol metabolic process 	enzyme			"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication"	YNR019W	2		FALSE		"SOAT2;DGAT1;SOAT1"		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
ARO2	AROmatic amino acid requiring	chorismate synthase activity	enzyme			"Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress"	YGL148W	1	cytoplasm	FALSE				FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ASC1	Absence of growth Suppressor of Cyp1	negative regulation of translation				"G-protein beta subunit and guanine dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; required to prevent frameshifting at ribosomes stalled at repeated CGA codons; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation"	YMR116C	2		FALSE		"RACK1;WDR31"		TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
