YAL049C 	chrI 	51739 	51847 	0.598858232923
YAL049C 	chrI 	51849 	51946 	0.733702342916
YAL049C 	chrI 	51948 	52041 	0.779506173331
YAL049C 	chrI 	52042 	52133 	0.664984871003
YAL049C 	chrI 	52134 	52249 	0.69201293437
YAL049C 	chrI 	52250 	52347 	0.410565469534
YAL049C 	chrI 	52349 	52468 	0.819902975584
YAL049C 	chrI 	52469 	52567 	0.494969643229
YAL049C 	chrI 	52574 	52656 	0.844754643695
YAL044C 	chrI 	57875 	57962 	0.768500321221
YAL044C 	chrI 	57968 	58074 	0.770717744151
YAL044C 	chrI 	58075 	58168 	0.69730378394
YAL044C 	chrI 	58172 	58278 	0.574054428574
YAL044C 	chrI 	58279 	58368 	0.783859190417
YAL044C 	chrI 	58369 	58451 	0.741654942887
YAL036C 	chrI 	74875 	74991 	0.773776066102
YAL036C 	chrI 	74992 	75071 	0.768555494172
YAL036C 	chrI 	75072 	75176 	0.558614326419
YAL036C 	chrI 	75177 	75268 	0.611138216219
YAL036C 	chrI 	75271 	75381 	0.643213362581
YAL036C 	chrI 	75383 	75501 	0.703412386258
YAL036C 	chrI 	75503 	75586 	0.551289554866
YAL036C 	chrI 	75593 	75681 	0.899050111727
YAL036C 	chrI 	75682 	75787 	0.411006573459
YAL036C 	chrI 	75790 	75897 	0.511733678668
YAL036C 	chrI 	75898 	76043 	0.290598347545
YAL036C 	chrI 	76044 	76127 	0.562546821177
YAL036C 	chrI 	76147 	76208 	0.88101122408
YAL025C 	chrI 	100066 	100145 	0.473091448441
YAL025C 	chrI 	100151 	100243 	0.678885828703
YAL025C 	chrI 	100245 	100327 	0.664912062061
YAL025C 	chrI 	100328 	100440 	0.924508681874
YAL025C 	chrI 	100441 	100554 	0.655210459863
YAL025C 	chrI 	100555 	100657 	0.115815782602
YAL025C 	chrI 	100658 	100736 	0.875844027028
YAL025C 	chrI 	100745 	100842 	0.748514272219
YAL025C 	chrI 	100843 	100919 	0.861968894692
YAL025C 	chrI 	100923 	101009 	0.703614280402
YAL025C 	chrI 	101010 	101110 	0.49100292658
YAL025C 	chrI 	101123 	101170 	0.916405289602
YAL023C 	chrI 	106163 	106242 	0.760730509108
YAL023C 	chrI 	106243 	106335 	0.770402544029
YAL023C 	chrI 	106338 	106450 	0.536209639285
YAL023C 	chrI 	106451 	106564 	0.70302898516
YAL023C 	chrI 	106565 	106660 	0.715462147585
YAL023C 	chrI 	106662 	106763 	0.758521556749
YAL023C 	chrI 	106771 	106879 	0.638486959142
YAL023C 	chrI 	106880 	106958 	0.353904173424
YAL023C 	chrI 	106961 	107041 	0.560694578485
YAL023C 	chrI 	107050 	107144 	0.500619727199
YAL023C 	chrI 	107146 	107251 	0.570512381128
