YAL060W 	chrI 	35098	35187	0.829979903
YAL060W 	chrI 	35189	35293	0.346226872
YAL060W 	chrI 	35298	35397	0.410887188
YAL060W 	chrI 	35405	35506	0.593542599
YAL060W 	chrI 	35507	35619	0.709940828
YAL060W 	chrI 	35621	35730	0.405516739
YAL060W 	chrI 	35731	35851	0.536197261
YAL060W 	chrI 	35852	35967	0.622286706
YAL060W 	chrI 	35968	36057	0.576457963
YAL060W 	chrI 	36058	36176	0.663347844
YAL060W 	chrI 	36177	36275	0.704687495
YAL060W 	chrI 	36276	36386	0.604807812
YAL059W 	chrI 	36545	36628	0.759755378
YAL059W 	chrI 	36631	36720	0.486294345
YAL059W 	chrI 	36721	36817	0.769074344
YAL059W 	chrI 	36818	36921	0.471287246
YAL059W 	chrI 	36922	37020	0.772170169
YAL059W 	chrI 	37024	37115	0.858030077
YAL059W 	chrI 	37118	37230	0.666287613
YAL059W 	chrI 	37278	37328	0.598264969
YAL044W-A 	chrI 	57503	57599	0.711672206
YAL044W-A 	chrI 	57600	57704	0.41223256
YAL044W-A 	chrI 	57705	57796	0.675855814
YAL044W-A 	chrI 	57799	57892	0.617308314
YAL044W-A 	chrI 	57902	57957	0.468094428
YAL042W 	chrI 	61279	61364	0.862509242
YAL042W 	chrI 	61366	61476	0.639364575
YAL042W 	chrI 	61479	61583	0.624585366
YAL042W 	chrI 	61585	61703	0.573586042
YAL042W 	chrI 	61704	61795	0.891117696
YAL042W 	chrI 	61802	61912	0.774527253
YAL042W 	chrI 	61913	62002	0.52942187
YAL042W 	chrI 	62003	62098	0.800597415
YAL042W 	chrI 	62100	62194	0.785076839
YAL042W 	chrI 	62197	62290	0.640537801
YAL042W 	chrI 	62294	62398	0.816265698
YAL042W 	chrI 	62399	62507	0.669100137
YAL042W 	chrI 	62508	62599	0.789695364
YAL042W 	chrI 	62600	62645	0.817468807
YAL038W 	chrI 	71680	71781	0.979407316
YAL038W 	chrI 	71783	71878	0.789714263
YAL038W 	chrI 	71879	71975	0.847060443
YAL038W 	chrI 	71976	72061	0.785385385
YAL038W 	chrI 	72066	72132	0.737034015
YAL038W 	chrI 	72133	72226	0.749290272
YAL038W 	chrI 	72238	72340	0.544225148
YAL038W 	chrI 	72344	72445	0.760203272
YAL038W 	chrI 	72453	72541	0.697037228
YAL038W 	chrI 	72542	72649	0.630437718
YAL038W 	chrI 	72650	72744	0.375089879
YAL038W 	chrI 	72745	72846	0.364540781
YAL038W 	chrI 	72850	72923	0.858737631
YAL038W 	chrI 	72925	73021	0.646727694
YAL038W 	chrI 	73022	73112	0.716949037
YAL038W 	chrI 	73118	73222	0.429682236
YAL038W 	chrI 	73223	73316	0.513683865
YAL038W 	chrI 	73319	73429	0.71777056
YAL035W 	chrI 	76386	76468	0.875744508
YAL035W 	chrI 	76471	76543	0.737109139
YAL035W 	chrI 	76544	76642	0.815059753
YAL035W 	chrI 	76644	76727	0.520024032
YAL035W 	chrI 	76728	76800	0.546815676
YAL035W 	chrI 	76801	76890	0.624402345
YAL035W 	chrI 	76891	76983	0.778290278
YAL035W 	chrI 	76984	77071	0.540016007
YAL035W 	chrI 	77073	77151	0.844799847
YAL035W 	chrI 	77152	77248	0.41129263
YAL035W 	chrI 	77249	77321	0.670697391
YAL035W 	chrI 	77323	77435	0.485834685
YAL035W 	chrI 	77436	77503	0.818172831
YAL035W 	chrI 	77504	77584	0.568218807
YAL035W 	chrI 	77585	77673	0.727462518
YAL035W 	chrI 	77674	77761	0.431290832
YAL035W 	chrI 	77764	77859	0.794184649
YAL035W 	chrI 	77860	77966	0.725189539
YAL035W 	chrI 	77968	78056	0.676724234
YAL035W 	chrI 	78057	78151	0.653187549
YAL035W 	chrI 	78152	78263	0.824819771
YAL035W 	chrI 	78266	78364	0.76984683
YAL035W 	chrI 	78365	78471	0.507038514
YAL035W 	chrI 	78472	78566	0.677682422
YAL035W 	chrI 	78567	78699	0.714880704
YAL035W 	chrI 	78700	78815	0.363412775
YAL035W 	chrI 	78816	78922	0.634558135
YAL035W 	chrI 	78925	79021	0.926188837
YAL035W 	chrI 	79022	79130	0.639444189
YAL035W 	chrI 	79131	79209	0.58436187
YAL035W 	chrI 	79210	79306	0.74571471
YAL035W 	chrI 	79309	79414	0.578154815
YAL035W 	chrI 	79418	79511	0.813363599
YAL033W 	chrI 	82695	82788	0.78883381
YAL033W 	chrI 	82789	82882	0.446521256
YAL033W 	chrI 	82884	82987	0.581181385
YAL033W 	chrI 	82988	83095	0.683587934
YAL033W 	chrI 	83097	83185	0.604757847
YAL033W 	chrI 	83187	83285	0.658125646
YAL016W 	chrI 	124799	124897	0.641368278
YAL016W 	chrI 	124898	124969	0.552986509
YAL016W 	chrI 	124971	125067	0.609031599
YAL016W 	chrI 	125068	125172	0.66297133
YAL016W 	chrI 	125173	125265	0.572490398
YAL016W 	chrI 	125273	125367	0.612611493
YAL016W 	chrI 	125369	125484	0.549986957
YAL016W 	chrI 	125486	125580	0.591494919
YAL016W 	chrI 	125581	125689	0.750007274
YAL016W 	chrI 	125691	125802	0.75262876
YAL016W 	chrI 	125803	125903	0.840166832
YAL016W 	chrI 	125904	126010	0.861828565
YAL016W 	chrI 	126012	126117	0.545108106
YAL016W 	chrI 	126120	126221	0.431432611
YAL016W 	chrI 	126222	126331	0.688450814
YAL016W 	chrI 	126342	126448	0.601352245
YAL016W 	chrI 	126453	126557	0.08760997
YAL016W 	chrI 	126558	126669	0.620345542
YAL016W 	chrI 	126670	126762	0.568539781
YAL016W 	chrI 	126763	126846	0.520451407
YAL012W 	chrI 	130708	130790	0.737960894
YAL012W 	chrI 	130791	130880	0.667467459
YAL012W 	chrI 	130882	130962	0.715985098
