seqnames,start,end,width,strand,plate,position,name1,name2,name,pos,gene,ann,ann2
chrIII,49378,49505,128,-,P1,A1,YCL043C_7_CDS_S,III:49378-49505,P1A1,CDS,YCL043C,CDS-chrIII-48653-50221-PDI1,"Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds"
chrVII,843881,843977,97,+,P1,B1,YGR173W_2_CDS_S,VII:843881-843977,P1B1,CDS,YGR173W,CDS-chrVII-843859-844965-RBG2,Protein with similarity to mammalian developmentally regulated GTP-binding protein
chrVII,843910,844038,129,+,P1,C1,YGR173W_3_CDS_S,VII:843910-844038,P1C1,CDS,YGR173W,CDS-chrVII-843859-844965-RBG2,Protein with similarity to mammalian developmentally regulated GTP-binding protein
chrV,139650,139758,109,-,P1,D1,YEL009C_13_CDS_S,V:139650-139758,P1D1,CDS,YEL009C,CDS-chrV-138918-139763-GCN4,Basic leucine zipper (bZIP) transcriptional activator of amino acid biosynthetic genes in response to amino acid starvation; expression is tightly regulated at both the transcriptional and translational levels
chrV,139683,139786,104,-,P1,E1,YEL009C_14_UTR5_S,V:139683-139786,P1E1,UTR5,YEL009C,CDS-chrV-138918-139763-GCN4,Basic leucine zipper (bZIP) transcriptional activator of amino acid biosynthetic genes in response to amino acid starvation; expression is tightly regulated at both the transcriptional and translational levels
chrIV,356108,356220,113,-,P1,F1,YDL055C_5_CDS_S,IV:356108-356220,P1F1,CDS,YDL055C,CDS-chrIV-355674-356759-PSA1,"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure"
chrXVI,481776,481882,107,-,P1,G1,YPL037C_3_CDS_S,XVI:481776-481882,P1G1,CDS,YPL037C,CDS-chrXVI-481425-481898-EGD1,"Subunit beta1 of the nascent polypeptide-associated complex (NAC) involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b"
chrVII,482722,482816,95,-,P1,H1,YGL008C_32_UTR5_S,VII:482722-482816,P1H1,UTR5,YGL008C,NA,NA
chrVII,482751,482857,107,-,P1,A2,YGL008C_33_UTR5_S,VII:482751-482857,P1A2,UTR5,YGL008C,NA,NA
chrI,154361,154496,136,-,P1,B2,YAR002C-A_0_CDS_S,I:154361-154496,P1B2,CDS,YAR002C-A,CDS-chrI-154067-154726-ERP1,"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"
chrI,154407,154549,143,-,P1,C2,YAR002C-A_1_CDS_S,I:154407-154549,P1C2,CDS,YAR002C-A,CDS-chrI-154067-154726-ERP1,"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"
chrXIV,64160,64270,111,-,P1,D2,YNL301C_4_UTR3_S,XIV:64160-64270,P1D2,UTR3,YNL301C,intron-chrXIV-64019-64450-RPL18B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein"
chrXIV,64195,64317,123,-,P1,E2,YNL301C_5_UTR3_S,XIV:64195-64317,P1E2,UTR3,YNL301C,intron-chrXIV-64019-64450-RPL18B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein"
chrXIV,64227,64361,135,-,P1,F2,YNL301C_6_UTR3_S,XIV:64227-64361,P1F2,UTR3,YNL301C,intron-chrXIV-64019-64450-RPL18B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein"
chrXIV,64271,64409,139,-,P1,G2,YNL301C_7_UTR3_S,XIV:64271-64409,P1G2,UTR3,YNL301C,intron-chrXIV-64019-64450-RPL18B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein"
chrIX,421360,421488,129,-,P1,H2,YIR035C_8_CDS_S,IX:421360-421488,P1H2,CDS,YIR035C,CDS-chrIX-421023-421787-NA,Putative cytoplasmic protein of unknown function
chrVII,399653,399763,111,+,P1,A3,YGL055W_12_CDS_S,VII:399653-399763,P1A3,CDS,YGL055W,CDS-chrVII-398631-400163-OLE1,"Delta(9) fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria"
chrXIV,443506,443641,136,-,P1,B3,YNL096C_2_UTR3_S,XIV:443506-443641,P1B3,UTR3,YNL096C,CDS-chrXIV-443400-443828-RPS7B,"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Ap; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins"
chrXII,282955,283051,97,+,P1,C3,YLR075W_1_CDS_S,XII:282955-283051,P1C3,CDS,YLR075W,CDS-chrXII-282928-283593-RPL10,"Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family"
chrXII,283270,283399,130,+,P1,D3,YLR075W_3_CDS_S,XII:283270-283399,P1D3,CDS,YLR075W,CDS-chrXII-282928-283593-RPL10,"Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family"
chrXVI,792051,792177,127,-,P1,E3,YPR128C_5_CDS_S,XVI:792051-792177,P1E3,CDS,YPR128C,CDS-chrXVI-791214-792200-ANT1,Peroxisomal adenine nucleotide transporter; involved in beta-oxidation of medium-chain fatty acid; required for peroxisome proliferation
chrIV,589930,590056,127,-,P1,F3,YDR072C_1_CDS_S,IV:589930-590056,P1F3,CDS,YDR072C,CDS-chrIV-589760-591343-IPT1,"Inositolphosphotransferase, involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid;, can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin"
