"","ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_gene_name","hsapiens_homolog_goslim"
"1","YAL003W","EFB1","ENSG00000104529","EEF1D",""
"2","YAL003W","EFB1","ENSG00000114942","EEF1B2","cytoplasm"
"3","YAL011W","SWC3","",NA,"NA"
"4","YAL013W","DEP1","",NA,"NA"
"5","YAL025C","MAK16","ENSG00000198042","MAK16","nucleic acid binding"
"6","YAL035W","FUN12","ENSG00000158417","EIF5B","cytoplasm"
"7","YAL053W","FLC2","",NA,"NA"
"8","YAR007C","RFA1","ENSG00000132383","RPA1",""
"9","YAR073W","IMD1","",NA,"NA"
"10","YBL002W","HTB2","",NA,"NA"
"11","YBL003C","HTA2","ENSG00000277745","H2AFB3","nucleus"
"12","YBL003C","HTA2","ENSG00000277858","H2AFB2","nucleus"
"13","YBL003C","HTA2","ENSG00000180573","HIST1H2AC","nucleus"
"14","YBL003C","HTA2","ENSG00000113648","H2AFY","nucleus"
"15","YBL003C","HTA2","ENSG00000274183","H2AFB1","nucleus"
"16","YBL003C","HTA2","ENSG00000099284","H2AFY2","nucleosome"
"17","YBL016W","FUS3","ENSG00000181085","MAPK15","intracellular"
"18","YBL016W","FUS3","ENSG00000100030","MAPK1","cytoplasm"
"19","YBL016W","FUS3","ENSG00000102882","MAPK3","nucleus"
"20","YBL016W","FUS3","ENSG00000141639","MAPK4","cytoplasm"
"21","YBL016W","FUS3","ENSG00000087095","NLK","regulation of transcription, DNA-templated"
"22","YBL016W","FUS3","ENSG00000069956","MAPK6","cytoplasm"
"23","YBL016W","FUS3","ENSG00000166484","MAPK7","cytoplasm"
"24","YBL024W","NCL1","ENSG00000037474","NSUN2","cytoplasm"
"25","YBL028C","","",NA,"NA"
"26","YBL037W","APL3","ENSG00000183020","AP2A2",""
"27","YBL037W","APL3","ENSG00000196961","AP2A1","plasma membrane"
"28","YBL038W","MRPL16","",NA,"NA"
"29","YBL047C","EDE1","ENSG00000135597","REPS1","plasma membrane"
"30","YBL047C","EDE1","ENSG00000085832","EPS15",""
"31","YBL047C","EDE1","ENSG00000024422","EHD2","GTP binding"
"32","YBL047C","EDE1","ENSG00000198399","ITSN2","cytoplasm"
"33","YBL047C","EDE1","ENSG00000013016","EHD3","cytoplasm"
"34","YBL047C","EDE1","ENSG00000127527","EPS15L1",""
"35","YBL047C","EDE1","ENSG00000169891","REPS2","cytoplasm"
"36","YBL047C","EDE1","ENSG00000103966","EHD4","GTP binding"
"37","YBL047C","EDE1","ENSG00000185739","SRL",""
"38","YBL047C","EDE1","ENSG00000205726","ITSN1","plasma membrane"
"39","YBL047C","EDE1","ENSG00000110047","EHD1","GTP binding"
"40","YBL092W","RPL32","ENSG00000144713","RPL32","cytosol"
"41","YBR055C","PRP6","ENSG00000101161","PRPF6","nucleus"
"42","YBR095C","RXT2","",NA,"NA"
"43","YBR142W","MAK5","ENSG00000089737","DDX24","membrane"
"44","YBR154C","RPB5","ENSG00000099817","POLR2E","nucleus"
"45","YBR170C","NPL4","ENSG00000182446","NPLOC4","nucleus"
"46","YBR171W","SEC66","",NA,"NA"
"47","YBR172C","SMY2","",NA,"NA"
"48","YBR189W","RPS9B","ENSG00000170889","RPS9","cytoplasm"
"49","YBR195C","MSI1","",NA,"NA"
"50","YBR196C","PGI1","ENSG00000105220","GPI",""
"51","YBR208C","DUR1,2","ENSG00000078070","MCCC1","metal ion binding"
