"","ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_gene_name","hsapiens_homolog_goslim"
"1","YAL003W","EFB1","ENSG00000104529","EEF1D",""
"2","YAL003W","EFB1","ENSG00000114942","EEF1B2","eukaryotic translation elongation factor 1 complex"
"3","YAL011W","SWC3","",NA,"NA"
"4","YAL025C","MAK16","ENSG00000198042","MAK16","maturation of 5.8S rRNA"
"5","YAL035W","FUN12","ENSG00000158417","EIF5B","regulation of translational initiation"
"6","YAR073W","IMD1","",NA,"NA"
"7","YBL003C","HTA2","ENSG00000113648","H2AFY","negative regulation of protein localization to chromosome, telomeric region"
"8","YBL003C","HTA2","ENSG00000196747","HIST1H2AI","chromatin silencing"
"9","YBL003C","HTA2","ENSG00000099284","H2AFY2","negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter"
"10","YBL003C","HTA2","ENSG00000276903","HIST1H2AL","chromatin silencing"
"11","YBL003C","HTA2","ENSG00000275221","HIST1H2AK","chromatin silencing"
"12","YBL003C","HTA2","ENSG00000196787","HIST1H2AG","chromatin silencing"
"13","YBL028C","","",NA,"NA"
"14","YBL038W","MRPL16","",NA,"NA"
"15","YBR154C","RPB5","ENSG00000099817","POLR2E","RNA polymerase II activity"
"16","YBR189W","RPS9B","ENSG00000170889","RPS9","positive regulation of translational fidelity"
"17","YBR195C","MSI1","",NA,"NA"
"18","YBR288C","APM3","",NA,"NA"
"19","YCL036W","GFD2","",NA,"NA"
"20","YCL054W","SPB1","ENSG00000108592","FTSJ3","rRNA (guanine) methyltransferase activity"
"21","YCR087C-A","","",NA,"NA"
"22","YDL014W","NOP1","ENSG00000105202","FBL",""
"23","YDL014W","NOP1","ENSG00000188573","FBLL1","histone-glutamine methyltransferase activity"
"24","YDL031W","DBP10","ENSG00000123064","DDX54","RNA metabolic process"
"25","YDL060W","TSR1","ENSG00000167721","TSR1","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"26","YDL070W","BDF2","ENSG00000100393","EP300","regulation of tubulin deacetylation"
"27","YDL070W","BDF2","ENSG00000169925","BRD3","lysine-acetylated histone binding"
"28","YDL070W","BDF2","ENSG00000137948","BRDT","positive regulation of transcription involved in meiotic cell cycle"
"29","YDL070W","BDF2","ENSG00000005339","CREBBP","peptide N-acetyltransferase activity"
"30","YDL070W","BDF2","ENSG00000204256","BRD2","lysine-acetylated histone binding"
"31","YDL070W","BDF2","ENSG00000141867","BRD4","regulation of phosphorylation of RNA polymerase II C-terminal domain"
"32","YDL075W","RPL31A","ENSG00000071082","RPL31","cytoplasmic translation"
"33","YDL092W","SRP14","",NA,"NA"
"34","YDL098C","SNU23","",NA,"NA"
"35","YDL148C","NOP14","ENSG00000087269","NOP14","Noc4p-Nop14p complex"
"36","YDL153C","SAS10","ENSG00000132467","UTP3","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"37","YDL173W","PAR32","",NA,"NA"
"38","YDL208W","NHP2","ENSG00000145912","NHP2","cleavage involved in rRNA processing"
"39","YDL213C","NOP6","",NA,"NA"
"40","YDR026C","NSI1","",NA,"NA"
"41","YDR033W","MRH1","",NA,"NA"
"42","YDR037W","KRS1","ENSG00000065427","KARS","lysyl-tRNA aminoacylation"
"43","YDR115W","","",NA,"NA"
"44","YDR117C","TMA64","ENSG00000143486","EIF2D",""
"45","YDR120C","TRM1","ENSG00000121486","TRMT1L","behavior"
"46","YDR120C","TRM1","ENSG00000104907","TRMT1","tRNA N2-guanine methylation"
"47","YDR174W","HMO1","",NA,"NA"
"48","YDR225W","HTA1","ENSG00000277745","H2AFB3","transcriptionally active chromatin"
"49","YDR225W","HTA1","ENSG00000277858","H2AFB2","transcriptionally active chromatin"
"50","YDR225W","HTA1","ENSG00000274183","H2AFB1","transcriptionally active chromatin"
"51","YDR240C","SNU56","",NA,"NA"
"52","YDR312W","SSF2","ENSG00000243207","PPAN-P2RY11",""
"53","YDR312W","SSF2","ENSG00000130810","PPAN","ribosomal large subunit assembly"
"54","YDR325W","YCG1","ENSG00000109805","NCAPG","mitotic chromosome condensation"
"55","YDR337W","MRPS28","",NA,"NA"
"56","YDR361C","BCP1","",NA,"NA"
"57","YDR365C","ESF1","ENSG00000089048","ESF1","nucleolus"
"58","YDR381W","YRA1","",NA,"NA"
"59","YDR412W","RRP17","",NA,"NA"
"60","YDR514C","","",NA,"NA"
"61","YEL026W","SNU13","ENSG00000100138","SNU13","box C/D snoRNA binding"
"62","YER002W","NOP16","",NA,"NA"
"63","YER007C-A","TMA20","ENSG00000232119","MCTS1","ribosome disassembly"
"64","YER025W","GCD11","ENSG00000130741","EIF2S3","translation factor activity, RNA binding"
"65","YER025W","GCD11","ENSG00000180574","EIF2S3L","formation of translation preinitiation complex"
"66","YER029C","SMB1","ENSG00000128739","SNRPN","U4 snRNP"
"67","YER029C","SMB1","ENSG00000125835","SNRPB","protein methylation"
"68","YER033C","ZRG8","",NA,"NA"
"69","YER082C","UTP7","ENSG00000227057","WDR46","90S preribosome"
"70","YER126C","NSA2","ENSG00000164346","NSA2","maturation of 5.8S rRNA"
"71","YER129W","SAK1","ENSG00000118046","STK11",""
"72","YER129W","SAK1","ENSG00000004660","CAMKK1",""
"73","YER129W","SAK1","ENSG00000110931","CAMKK2","calmodulin-dependent protein kinase activity"
"74","YER161C","SPT2","",NA,"NA"
"75","YER165W","PAB1","ENSG00000066044","ELAVL1","mRNA 3'-UTR AU-rich region binding"
"76","YER165W","PAB1","ENSG00000144642","RBMS3",""
"77","YER165W","PAB1","ENSG00000101104","PABPC1L","RNA binding"
"78","YER165W","PAB1","ENSG00000196361","ELAVL3","AU-rich element binding"
"79","YER165W","PAB1","ENSG00000090621","PABPC4",""
"80","YER165W","PAB1","ENSG00000076067","RBMS2","RNA processing"
"81","YER165W","PAB1","ENSG00000107105","ELAVL2",""
"82","YER165W","PAB1","ENSG00000151846","PABPC3","mRNA metabolic process"
"83","YER165W","PAB1","ENSG00000179950","PUF60","cyclin-dependent protein kinase activating kinase holoenzyme complex"
"84","YER165W","PAB1","ENSG00000254535","PABPC4L","RNA binding"
"85","YER165W","PAB1","ENSG00000186288","PABPC1L2A","RNA binding"
"86","YER165W","PAB1","ENSG00000070756","PABPC1",""
"87","YER165W","PAB1","ENSG00000162374","ELAVL4","AU-rich element binding"
"88","YER165W","PAB1","ENSG00000184388","PABPC1L2B","RNA binding"
"89","YER165W","PAB1","ENSG00000174740","PABPC5",""
"90","YER165W","PAB1","ENSG00000153250","RBMS1","RNA processing"
"91","YER176W","ECM32","",NA,"NA"
"92","YFR001W","LOC1","",NA,"NA"
"93","YFR009W","GCN20","ENSG00000161204","ABCF3","defense response to virus"
"94","YFR009W","GCN20","ENSG00000204574","ABCF1","translation factor activity, RNA binding"
"95","YGL029W","CGR1","",NA,"NA"
"96","YGL077C","HNM1","",NA,"NA"
"97","YGL078C","DBP3","",NA,"NA"
"98","YGL099W","LSG1","ENSG00000204590","GNL1","T cell mediated immunity"
"99","YGL099W","LSG1","ENSG00000041802","LSG1","nuclear export"
"100","YGL252C","RTG2","",NA,"NA"
"101","YGR072W","UPF3","",NA,"NA"
